match,market_name,player_name,player_team,under_line,opposition_team,over_price,over_agency,under_price,under_agency,over_line,margin
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,2.083,Betfair,1.88,Sportsbet,26.5,-1.1991705906987615
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,2.083,Betfair,1.87,Pointsbet,26.5,-1.4836170578736319
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,2.083,Betfair,1.87,Neds,26.5,-1.4836170578736319
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,2.15,Neds,1.817,Betfair,29.5,-1.5474011595909554
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,2.02,Neds,1.91,Sportsbet,23.5,-1.86097143745787
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,2.0069999999999997,Betfair,1.91,Neds,22.5,-2.1816313061353343
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.91,Neds,2,Sportsbet,22.5,-2.3560209424083656
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,2.15,Neds,1.79,Sportsbet,29.5,-2.377549694686243
Brisbane Lions v Adelaide Crows,Player Disposals,Jaspa Fletcher,Brisbane Lions,18.5,Adelaide Crows,2.19,Sportsbet,1.76,Betfair,18.5,-2.4802822748028364
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,2.1,Pointsbet,1.817,Betfair,29.5,-2.6548208716618227
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,2.026,Betfair,1.87,Pointsbet,22.5,-2.8342773886006034
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,2.05,Pointsbet,1.85,Neds,21.5,-2.8345418589321048
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.9,Pointsbet,1.988,Betfair,28.5,-2.9333898125595503
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,2.02,Neds,1.87,Pointsbet,23.5,-2.9808863239265015
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.88,Pointsbet,2,Sportsbet,18.5,-3.1914893617021267
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,2.0069999999999997,Betfair,1.87,Pointsbet,22.5,-3.3015461926039658
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,2.026,Betfair,1.85,Sportsbet,22.5,-3.4123956137776412
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,2.026,Betfair,1.85,Neds,22.5,-3.4123956137776412
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,2.1,Pointsbet,1.79,Sportsbet,29.5,-3.48496940675711
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.91,Neds,1.95,Pointsbet,22.5,-3.6380722244596653
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,2.01,Sportsbet,1.85,Neds,21.5,-3.80529783514858
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.93,Sportsbet,1.91,Neds,22.5,-4.169492444999046
Brisbane Lions v Adelaide Crows,Player Disposals,Harris Andrews,Brisbane Lions,13.5,Adelaide Crows,1.87,Neds,1.96,Sportsbet,13.5,-4.496343992142293
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.83,Neds,2,Sportsbet,18.5,-4.644808743169393
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,2.026,Betfair,1.8075,Betfair,22.5,-4.683376137870199
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.95,Betfair,1.87,Neds,16.5,-4.7579871109282745
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.95,Betfair,1.87,Pointsbet,28.5,-4.7579871109282745
Brisbane Lions v Adelaide Crows,Player Goals,Darcy Fogarty,Adelaide Crows,1.5,Brisbane Lions,1.87,Sportsbet,1.95,Betfair,1.5,-4.7579871109282745
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Worrell,Adelaide Crows,19.5,Brisbane Lions,2.1,Neds,1.75,Sportsbet,19.5,-4.761904761904745
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.83,Neds,1.988,Betfair,28.5,-4.946619608360536
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.83,Sportsbet,1.988,Betfair,28.5,-4.946619608360536
