match,market_name,home_team,home_win,away_team,away_win,margin,agency
Carlton v Hawthorn Hawks,Head To Head,Carlton,2.9,Hawthorn Hawks,1.44,1.039,Bet365
Western Bulldogs v Collingwood Magpies,Head To Head,Western Bulldogs,2.4,Collingwood Magpies,1.58,1.05,Bet365
Essendon Bombers v Adelaide Crows,Head To Head,Essendon Bombers,2.25,Adelaide Crows,1.65,1.051,Bet365
Port Adelaide Power v Richmond Tigers,Head To Head,Port Adelaide Power,1.11,Richmond Tigers,6.5,1.055,Bet365
St Kilda Saints v Geelong Cats,Head To Head,St Kilda Saints,4.2,Geelong Cats,1.23,1.051,Bet365
Brisbane Lions v West Coast Eagles,Head To Head,Brisbane Lions,1.02,West Coast Eagles,15,1.047,Bet365
North Melbourne Kangaroos v Melbourne Demons,Head To Head,North Melbourne Kangaroos,3.35,Melbourne Demons,1.33,1.05,Bet365
Fremantle Dockers v Sydney Swans,Head To Head,Fremantle Dockers,1.62,Sydney Swans,2.3,1.052,Bet365
Essendon Bombers v Port Adelaide Power,Head To Head,Essendon Bombers,1.97,Port Adelaide Power,1.85,1.048,Bet365
Carlton v Western Bulldogs,Head To Head,Carlton,1.89,Western Bulldogs,1.93,1.047,Bet365
Melbourne Demons v Gold Coast Suns,Head To Head,Melbourne Demons,1.72,Gold Coast Suns,2.15,1.047,Bet365
St Kilda Saints v Richmond Tigers,Head To Head,St Kilda Saints,1.36,Richmond Tigers,3.2,1.048,Bet365
Brisbane Lions v Geelong Cats,Head To Head,Brisbane Lions,1.54,Geelong Cats,2.5,1.049,Bet365
Hawthorn Hawks v GWS Giants,Head To Head,Hawthorn Hawks,1.52,GWS Giants,2.55,1.05,Bet365
Adelaide Crows v North Melbourne Kangaroos,Head To Head,Adelaide Crows,1.13,North Melbourne Kangaroos,6,1.052,Bet365
West Coast Eagles v Fremantle Dockers,Head To Head,West Coast Eagles,4.6,Fremantle Dockers,1.2,1.051,Bet365
