match,home_team,away_team,player_team,opposition_team,market_name,player_name,line,over_price,agency,under_price
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Nick Daicos,19.5,1.006,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Nick Daicos,24.5,1.08,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Nick Daicos,29.5,1.38,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Nick Daicos,34.5,2.5,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Nick Daicos,39.5,6,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,14.5,1.004,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,19.5,1.05,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,24.5,1.28,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,29.5,2.15,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,34.5,5.25,Bet365,NA
Collingwood Magpies v Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Player Disposals,Josh Daicos,39.5,13,Bet365,NA
