match,home_team,away_team,player_team,opposition_team,market_name,player_name,line,over_price,agency
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,0.5,1.08,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,1.5,1.47,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,2.5,2.5,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,3.5,5.5,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,4.5,13,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Joe Daniher,5.5,35,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,0.5,1.09,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,1.5,1.55,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,2.5,2.75,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,3.5,6,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,4.5,16,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Charlie Cameron,5.5,45,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,0.5,1.11,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,1.5,1.62,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,2.5,3,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,3.5,7,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,4.5,18,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Player Goals,Eric Hipwood,5.5,55,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,0.5,1.22,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,1.5,2.05,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,2.5,4.5,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,3.5,13,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,4.5,40,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Brody Mihocek,5.5,150,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,0.5,1.22,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,1.5,2.05,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,2.5,4.5,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,3.5,13,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,4.5,40,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Jamie Elliott,5.5,150,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Reef McInnes,0.5,1.22,Bet365
Brisbane Lions v Collingwood Magpies,Brisbane Lions,Collingwood Magpies,Collingwood Magpies,Brisbane Lions,Player Goals,Reef McInnes,1.5,2.05,Bet365
