match,home_team,away_team,player_name,player_team,opposition_team,line,over_price,over_liquidity,market_name,under_price,under_liquidity,agency
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Kane Farrell,Port Adelaide Power,Richmond Tigers,21.5,1.7885,240.44,Player Disposals,1.988,870.55,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Dion Prestia,Richmond Tigers,Port Adelaide Power,19.5,1.988,488.88,Player Disposals,1.8075,716.12,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Ollie Wines,Port Adelaide Power,Richmond Tigers,25.5,2.0069999999999997,600,Player Disposals,NA,NA,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Sam Lalor,Richmond Tigers,Port Adelaide Power,15.5,1.6745,344,Player Disposals,2.1020000000000003,214.12,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Sam Banks,Richmond Tigers,Port Adelaide Power,19.5,1.665,433,Player Disposals,2.0069999999999997,566.04,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Willem Drew,Port Adelaide Power,Richmond Tigers,20.5,1.931,666.67,Player Disposals,1.76,666.67,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Zak Butters,Port Adelaide Power,Richmond Tigers,30.5,1.7885,722.89,Player Disposals,1.9024999999999999,631.58,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Tim Taranto,Richmond Tigers,Port Adelaide Power,25.5,1.8170000000000002,697.67,Player Disposals,1.8929999999999998,638.3,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Jacob Hopper,Richmond Tigers,Port Adelaide Power,23.5,1.722,433,Player Disposals,1.95,600,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Jack Ross,Richmond Tigers,Port Adelaide Power,21.5,1.8265,710.03,Player Disposals,1.988,256.01,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Jason Horne-Francis,Port Adelaide Power,Richmond Tigers,22.5,1.7694999999999999,681.82,Player Disposals,1.931,681.82,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Jase Burgoyne,Port Adelaide Power,Richmond Tigers,19.5,1.6269999999999998,544,Player Disposals,1.95,600,Betfair
Richmond Tigers v Port Adelaide Power,Richmond Tigers,Port Adelaide Power,Jayden Short,Richmond Tigers,Port Adelaide Power,22.5,1.8075,322,Player Disposals,1.912,638.3,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Brodie Grundy,Sydney Swans,West Coast Eagles,18.5,1.8265,689.66,Player Disposals,2.045,180.95,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Justin McInerney,Sydney Swans,West Coast Eagles,23.5,1.95,600,Player Disposals,1.665,340,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,James Rowbottom,Sydney Swans,West Coast Eagles,17.5,1.741,769.23,Player Disposals,1.931,600,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Liam Duggan,West Coast Eagles,Sydney Swans,19.5,1.8265,689.66,Player Disposals,1.8265,689.66,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Liam Baker,West Coast Eagles,Sydney Swans,20.5,1.798,714.29,Player Disposals,1.8835,645.16,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Tim Kelly,West Coast Eagles,Sydney Swans,22.5,1.8359999999999999,681.82,Player Disposals,1.8359999999999999,681.82,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Nick Blakey,Sydney Swans,West Coast Eagles,22.5,1.912,625,Player Disposals,1.7885,722.89,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Callum Mills,Sydney Swans,West Coast Eagles,23.5,1.8455,674.16,Player Disposals,1.8359999999999999,681.82,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Willem Duursma,West Coast Eagles,Sydney Swans,17.5,1.95,600,Player Disposals,NA,NA,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Harley Reid,West Coast Eagles,Sydney Swans,22.5,1.988,238.97,Player Disposals,NA,NA,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Chad Warner,Sydney Swans,West Coast Eagles,23.5,1.76,344,Player Disposals,1.95,600,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Jack Graham,West Coast Eagles,Sydney Swans,19.5,1.8359999999999999,681.82,Player Disposals,1.8359999999999999,681.82,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Isaac Heeney,Sydney Swans,West Coast Eagles,22.5,1.8455,674.16,Player Disposals,1.8359999999999999,681.82,Betfair
West Coast Eagles v Sydney Swans,West Coast Eagles,Sydney Swans,Angus Sheldrick,Sydney Swans,West Coast Eagles,22.5,1.95,600,Player Disposals,NA,NA,Betfair
