match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Western Bulldogs v Sydney Swans,2024-05-23T09:30:00Z,Head To Head,Western Bulldogs,2.34,Sydney Swans,1.6,1.052,BetRight
Fremantle Dockers v Collingwood Magpies,2024-05-24T10:10:00Z,Head To Head,Fremantle Dockers,1.73,Collingwood Magpies,2.11,1.052,BetRight
Carlton v Gold Coast Suns,2024-05-25T03:45:00Z,Head To Head,Carlton,1.45,Gold Coast Suns,2.75,1.053,BetRight
North Melbourne Kangaroos v Port Adelaide Power,2024-05-25T03:45:00Z,Head To Head,North Melbourne Kangaroos,9.5,Port Adelaide Power,1.06,1.049,BetRight
Geelong Cats v GWS Giants,2024-05-25T06:35:00Z,Head To Head,Geelong Cats,1.54,GWS Giants,2.48,1.053,BetRight
Richmond Tigers v Essendon Bombers,2024-05-25T09:40:00Z,Head To Head,Richmond Tigers,7.5,Essendon Bombers,1.09,1.051,BetRight
Hawthorn Hawks v Brisbane Lions,2024-05-26T03:10:00Z,Head To Head,Hawthorn Hawks,3.1,Brisbane Lions,1.37,1.053,BetRight
Melbourne Demons v St Kilda Saints,2024-05-26T05:20:00Z,Head To Head,Melbourne Demons,1.35,St Kilda Saints,3.2,1.053,BetRight
Adelaide Crows v West Coast Eagles,2024-05-26T06:40:00Z,Head To Head,Adelaide Crows,1.2,West Coast Eagles,4.6,1.051,BetRight
Port Adelaide Power v Carlton,2024-05-30T09:30:00Z,Head To Head,Port Adelaide Power,1.68,Carlton,2.18,1.054,BetRight
Collingwood Magpies v Western Bulldogs,2024-05-31T09:40:00Z,Head To Head,Collingwood Magpies,1.68,Western Bulldogs,2.18,1.054,BetRight
Hawthorn Hawks v Adelaide Crows,2024-06-01T03:45:00Z,Head To Head,Hawthorn Hawks,2,Adelaide Crows,1.82,1.049,BetRight
West Coast Eagles v St Kilda Saints,2024-06-01T06:35:00Z,Head To Head,West Coast Eagles,1.71,St Kilda Saints,2.14,1.052,BetRight
Geelong Cats v Richmond Tigers,2024-06-01T09:30:00Z,Head To Head,Geelong Cats,1.06,Richmond Tigers,9.5,1.049,BetRight
Melbourne Demons v Fremantle Dockers,2024-06-02T03:00:00Z,Head To Head,Melbourne Demons,1.5,Fremantle Dockers,2.6,1.051,BetRight
