match,start_time,market_name,home_team,home_win,home_line,away_team,away_win,away_line,margin,agency
Essendon Bombers v GWS Giants,2025-07-17T09:30:00Z,Line,Essendon Bombers,1.9,43.5,GWS Giants,1.9,-43.5,1.053,BetRight
Brisbane Lions v Western Bulldogs,2025-07-18T09:40:00Z,Line,Brisbane Lions,1.9,-11.5,Western Bulldogs,1.9,11.5,1.053,BetRight
Hawthorn Hawks v Port Adelaide Power,2025-07-19T03:20:00Z,Line,Hawthorn Hawks,1.9,-29.5,Port Adelaide Power,1.9,29.5,1.053,BetRight
Sydney Swans v North Melbourne Kangaroos,2025-07-19T06:15:00Z,Line,Sydney Swans,1.9,-41.5,North Melbourne Kangaroos,1.9,41.5,1.053,BetRight
Carlton v Melbourne Demons,2025-07-19T09:35:00Z,Line,Carlton,1.9,11.5,Melbourne Demons,1.9,-11.5,1.053,BetRight
West Coast Eagles v Richmond Tigers,2025-07-19T10:10:00Z,Line,West Coast Eagles,1.9,-5.5,Richmond Tigers,1.9,5.5,1.053,BetRight
Geelong Cats v St Kilda Saints,2025-07-20T03:10:00Z,Line,Geelong Cats,1.9,-33.5,St Kilda Saints,1.9,33.5,1.053,BetRight
Collingwood Magpies v Fremantle Dockers,2025-07-20T05:15:00Z,Line,Collingwood Magpies,1.9,-20.5,Fremantle Dockers,1.9,20.5,1.053,BetRight
Adelaide Crows v Gold Coast Suns,2025-07-20T06:40:00Z,Line,Adelaide Crows,1.9,-16.5,Gold Coast Suns,1.9,16.5,1.053,BetRight
Gold Coast Suns v Brisbane Lions,2025-07-26T03:20:00Z,Line,Gold Coast Suns,1.9,3.5,Brisbane Lions,1.9,-3.5,1.053,BetRight
Fremantle Dockers v West Coast Eagles,2025-07-26T06:15:00Z,Line,Fremantle Dockers,1.9,-40.5,West Coast Eagles,1.9,40.5,1.053,BetRight
North Melbourne Kangaroos v Geelong Cats,2025-07-26T09:35:00Z,Line,North Melbourne Kangaroos,1.9,40.5,Geelong Cats,1.9,-40.5,1.053,BetRight
Adelaide Crows v Port Adelaide Power,2025-07-26T10:10:00Z,Line,Adelaide Crows,1.9,-26.5,Port Adelaide Power,1.9,26.5,1.053,BetRight
