match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Andrew McGrath,Essendon Bombers,14.5,1.13,NA,BetRight,Sydney Swans,Player Props,61397764,Andrew McGrath 15+,1,325311342
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Andrew McGrath,Essendon Bombers,19.5,1.83,NA,BetRight,Sydney Swans,Player Props,61397764,Andrew McGrath 20+,2,325311340
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Andrew McGrath,Essendon Bombers,24.5,4.5,NA,BetRight,Sydney Swans,Player Props,61397764,Andrew McGrath 25+,3,325311343
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Andrew McGrath,Essendon Bombers,29.5,15,NA,BetRight,Sydney Swans,Player Props,61397764,Andrew McGrath 30+,4,325311341
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Angus Clarke,Essendon Bombers,14.5,1.53,NA,BetRight,Sydney Swans,Player Props,61508523,Angus Clarke 15+,1,325774062
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Angus Clarke,Essendon Bombers,19.5,3.8,NA,BetRight,Sydney Swans,Player Props,61508523,Angus Clarke 20+,2,325774061
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Angus Clarke,Essendon Bombers,24.5,12,NA,BetRight,Sydney Swans,Player Props,61508523,Angus Clarke 25+,3,325774060
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Archer Day-Wicks,Essendon Bombers,14.5,5.25,NA,BetRight,Sydney Swans,Player Props,61397758,Archer Day-Wicks 15+,1,325311327
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Archie Perkins,Essendon Bombers,14.5,1.78,NA,BetRight,Sydney Swans,Player Props,61397766,Archie Perkins 15+,1,325311348
Essendon Bombers v Sydney Swans,Essendon Bombers,Sydney Swans,Player Disposals,Archie Perkins,Essendon Bombers,19.5,5,NA,BetRight,Sydney Swans,Player Props,61397766,Archie Perkins 20+,2,325311350
