match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Harry Sheezel,North Melbourne Kangaroos,79.5,1.1,BetRight,Sydney Swans,Fantasy Points - Harry Sheezel,47667699,80+ Fantasy Points,1,267813900
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Harry Sheezel,North Melbourne Kangaroos,89.5,1.25,BetRight,Sydney Swans,Fantasy Points - Harry Sheezel,47667699,90+ Fantasy Points,2,267813901
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Harry Sheezel,North Melbourne Kangaroos,99.5,1.6,BetRight,Sydney Swans,Fantasy Points - Harry Sheezel,47667699,100+ Fantasy Points,3,267813902
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Harry Sheezel,North Melbourne Kangaroos,109.5,2,BetRight,Sydney Swans,Fantasy Points - Harry Sheezel,47667699,110+ Fantasy Points,4,267813903
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Harry Sheezel,North Melbourne Kangaroos,119.5,3.25,BetRight,Sydney Swans,Fantasy Points - Harry Sheezel,47667699,120+ Fantasy Points,5,267813904
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Luke Davies-Uniacke,North Melbourne Kangaroos,79.5,1.3,BetRight,Sydney Swans,Fantasy Points - Luke Davies-Uniacke,47667700,80+ Fantasy Points,1,267813905
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Luke Davies-Uniacke,North Melbourne Kangaroos,89.5,1.6,BetRight,Sydney Swans,Fantasy Points - Luke Davies-Uniacke,47667700,90+ Fantasy Points,2,267813906
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Luke Davies-Uniacke,North Melbourne Kangaroos,99.5,2.1,BetRight,Sydney Swans,Fantasy Points - Luke Davies-Uniacke,47667700,100+ Fantasy Points,3,267813907
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Luke Davies-Uniacke,North Melbourne Kangaroos,109.5,3,BetRight,Sydney Swans,Fantasy Points - Luke Davies-Uniacke,47667700,110+ Fantasy Points,4,267813908
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Luke Davies-Uniacke,North Melbourne Kangaroos,119.5,5.5,BetRight,Sydney Swans,Fantasy Points - Luke Davies-Uniacke,47667700,120+ Fantasy Points,5,267813909
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Caleb Daniel,North Melbourne Kangaroos,79.5,1.3,BetRight,Sydney Swans,Fantasy Points - Caleb Daniel,47667701,80+ Fantasy Points,1,267813910
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Caleb Daniel,North Melbourne Kangaroos,89.5,1.6,BetRight,Sydney Swans,Fantasy Points - Caleb Daniel,47667701,90+ Fantasy Points,2,267813911
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Caleb Daniel,North Melbourne Kangaroos,99.5,2.1,BetRight,Sydney Swans,Fantasy Points - Caleb Daniel,47667701,100+ Fantasy Points,3,267813912
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Caleb Daniel,North Melbourne Kangaroos,109.5,3,BetRight,Sydney Swans,Fantasy Points - Caleb Daniel,47667701,110+ Fantasy Points,4,267813913
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Caleb Daniel,North Melbourne Kangaroos,119.5,5.5,BetRight,Sydney Swans,Fantasy Points - Caleb Daniel,47667701,120+ Fantasy Points,5,267813914
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Jy Simpkin,North Melbourne Kangaroos,79.5,1.6,BetRight,Sydney Swans,Fantasy Points - Jy Simpkin,47667702,80+ Fantasy Points,1,267813915
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Jy Simpkin,North Melbourne Kangaroos,89.5,2.15,BetRight,Sydney Swans,Fantasy Points - Jy Simpkin,47667702,90+ Fantasy Points,2,267813916
