match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Chris Burgess Score Anytime,NA,NA,1.16,NA,BetRight,NA,Player Goals - Chris Burgess (ADEL),34711260,Chris Burgess Score Anytime,NA,1,NA,213811130,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Chris Burgess,Adelaide Crows,1.5,1.74,NA,BetRight,Richmond Tigers,Player Goals - Chris Burgess (ADEL),34711260,Chris Burgess 2+,NA,2,NA,213811131,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Chris Burgess,Adelaide Crows,2.5,3.3,NA,BetRight,Richmond Tigers,Player Goals - Chris Burgess (ADEL),34711260,Chris Burgess 3+,NA,3,NA,213811132,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Brayden Cook Score Anytime,NA,NA,1.23,NA,BetRight,NA,Player Goals - Brayden Cook (ADEL),34711261,Brayden Cook Score Anytime,NA,1,NA,213811133,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Brayden Cook,Adelaide Crows,1.5,2.1,NA,BetRight,Richmond Tigers,Player Goals - Brayden Cook (ADEL),34711261,Brayden Cook 2+,NA,2,NA,213811134,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Brayden Cook,Adelaide Crows,2.5,4.4,NA,BetRight,Richmond Tigers,Player Goals - Brayden Cook (ADEL),34711261,Brayden Cook 3+,NA,3,NA,213811135,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Jordan Dawson Score Anytime,NA,NA,1.47,NA,BetRight,NA,Player Goals - Jordan Dawson (ADEL),34711262,Jordan Dawson Score Anytime,NA,1,NA,213811136,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Jordan Dawson,Adelaide Crows,1.5,3.25,NA,BetRight,Richmond Tigers,Player Goals - Jordan Dawson (ADEL),34711262,Jordan Dawson 2+,NA,2,NA,213811137,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Darcy Fogarty,Adelaide Crows,1.5,1.34,NA,BetRight,Richmond Tigers,Player Goals - Darcy Fogarty (ADEL),34711263,Darcy Fogarty 2+,NA,1,NA,213811139,NA
Adelaide Crows v Richmond Tigers,Adelaide Crows,Richmond Tigers,Player Goals,Darcy Fogarty,Adelaide Crows,2.5,2.01,NA,BetRight,Richmond Tigers,Player Goals - Darcy Fogarty (ADEL),34711263,Darcy Fogarty 3+,NA,2,NA,213811140,NA
