match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Adam Cerra,Carlton,4.5,1.17,NA,BetRight,St Kilda Saints,Player Props,61294238,Adam Cerra 5+,1,324890352
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Adam Cerra,Carlton,6.5,1.69,NA,BetRight,St Kilda Saints,Player Props,61294238,Adam Cerra 7+,2,324890354
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Adam Cerra,Carlton,8.5,3.15,NA,BetRight,St Kilda Saints,Player Props,61294238,Adam Cerra 9+,3,324890353
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Adam Cerra,Carlton,10.5,6.5,NA,BetRight,St Kilda Saints,Player Props,61294238,Adam Cerra 11+,4,324890351
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Anthony Caminiti,St Kilda Saints,2.5,1.17,NA,BetRight,Carlton,Player Props,61294200,Anthony Caminiti 3+,1,324890195
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Anthony Caminiti,St Kilda Saints,3.5,1.47,NA,BetRight,Carlton,Player Props,61294200,Anthony Caminiti 4+,2,324890193
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Anthony Caminiti,St Kilda Saints,4.5,1.99,NA,BetRight,Carlton,Player Props,61294200,Anthony Caminiti 5+,3,324890194
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Anthony Caminiti,St Kilda Saints,5.5,3.05,NA,BetRight,Carlton,Player Props,61294200,Anthony Caminiti 6+,4,324890196
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Ben Ainsworth,Carlton,5.5,1.19,NA,BetRight,St Kilda Saints,Player Props,61294236,Ben Ainsworth 6+,1,324890345
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Ben Ainsworth,Carlton,7.5,1.72,NA,BetRight,St Kilda Saints,Player Props,61294236,Ben Ainsworth 8+,2,324890343
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Ben Ainsworth,Carlton,9.5,3.05,NA,BetRight,St Kilda Saints,Player Props,61294236,Ben Ainsworth 10+,3,324890342
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Ben Ainsworth,Carlton,11.5,6,NA,BetRight,St Kilda Saints,Player Props,61294236,Ben Ainsworth 12+,4,324890344
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Billy Wilson,Carlton,5.5,1.2,NA,BetRight,St Kilda Saints,Player Props,61294263,Billy Wilson 6+,1,324890433
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Billy Wilson,Carlton,7.5,1.72,NA,BetRight,St Kilda Saints,Player Props,61294263,Billy Wilson 8+,2,324890435
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Billy Wilson,Carlton,9.5,2.95,NA,BetRight,St Kilda Saints,Player Props,61294263,Billy Wilson 10+,3,324890434
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Billy Wilson,Carlton,11.5,6,NA,BetRight,St Kilda Saints,Player Props,61294263,Billy Wilson 12+,4,324890432
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Blake Acres,Carlton,4.5,1.14,NA,BetRight,St Kilda Saints,Player Props,61294235,Blake Acres 5+,1,324890338
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Blake Acres,Carlton,6.5,1.59,NA,BetRight,St Kilda Saints,Player Props,61294235,Blake Acres 7+,2,324890341
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Blake Acres,Carlton,8.5,2.75,NA,BetRight,St Kilda Saints,Player Props,61294235,Blake Acres 9+,3,324890339
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Blake Acres,Carlton,10.5,5.5,NA,BetRight,St Kilda Saints,Player Props,61294235,Blake Acres 11+,4,324890340
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Bradley Hill,St Kilda Saints,7.5,1.25,NA,BetRight,Carlton,Player Props,61294205,Bradley Hill 8+,3,325025882
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Bradley Hill,St Kilda Saints,9.5,1.74,NA,BetRight,Carlton,Player Props,61294205,Bradley Hill 10+,1,324890214
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Bradley Hill,St Kilda Saints,11.5,2.85,NA,BetRight,Carlton,Player Props,61294205,Bradley Hill 12+,4,325025881
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Bradley Hill,St Kilda Saints,13.5,5.25,NA,BetRight,Carlton,Player Props,61294205,Bradley Hill 14+,5,325025883
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Brodie Kemp,Carlton,4.5,1.16,NA,BetRight,St Kilda Saints,Player Props,61294257,Brodie Kemp 5+,1,324890411
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Brodie Kemp,Carlton,6.5,1.67,NA,BetRight,St Kilda Saints,Player Props,61294257,Brodie Kemp 7+,2,324890410
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Brodie Kemp,Carlton,8.5,3.05,NA,BetRight,St Kilda Saints,Player Props,61294257,Brodie Kemp 9+,3,324890412
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Brodie Kemp,Carlton,10.5,6.75,NA,BetRight,St Kilda Saints,Player Props,61294257,Brodie Kemp 11+,4,324890409
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Callum Wilkie,St Kilda Saints,10.5,1.69,NA,BetRight,Carlton,Player Props,61294231,Callum Wilkie 11+,1,324890324
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Callum Wilkie,St Kilda Saints,13.5,3.55,NA,BetRight,Carlton,Player Props,61294231,Callum Wilkie 14+,2,324890326
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Campbell Lake,St Kilda Saints,1.5,1.17,NA,BetRight,Carlton,Player Props,61294206,Campbell Lake 2+,1,324890216
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Campbell Lake,St Kilda Saints,2.5,1.61,NA,BetRight,Carlton,Player Props,61294206,Campbell Lake 3+,2,324890218
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Campbell Lake,St Kilda Saints,3.5,2.45,NA,BetRight,Carlton,Player Props,61294206,Campbell Lake 4+,3,324890217
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Campbell Lake,St Kilda Saints,4.5,4.25,NA,BetRight,Carlton,Player Props,61294206,Campbell Lake 5+,4,324890215
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Lord,Carlton,3.5,1.14,NA,BetRight,St Kilda Saints,Player Props,61294258,Cooper Lord 4+,1,324890413
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Lord,Carlton,5.5,1.77,NA,BetRight,St Kilda Saints,Player Props,61294258,Cooper Lord 6+,2,324890416
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Lord,Carlton,7.5,3.55,NA,BetRight,St Kilda Saints,Player Props,61294258,Cooper Lord 8+,3,324890414
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Lord,Carlton,9.5,8,NA,BetRight,St Kilda Saints,Player Props,61294258,Cooper Lord 10+,4,324890415
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Sharman,St Kilda Saints,3.5,1.17,NA,BetRight,Carlton,Player Props,61294212,Cooper Sharman 4+,1,324890236
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Sharman,St Kilda Saints,5.5,1.89,NA,BetRight,Carlton,Player Props,61294212,Cooper Sharman 6+,2,324890238
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Cooper Sharman,St Kilda Saints,7.5,3.95,NA,BetRight,Carlton,Player Props,61294212,Cooper Sharman 8+,3,324890237
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Darcy Wilson,St Kilda Saints,5.5,1.54,NA,BetRight,Carlton,Player Props,61294232,Darcy Wilson 6+,1,324890328
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Darcy Wilson,St Kilda Saints,7.5,2.75,NA,BetRight,Carlton,Player Props,61294232,Darcy Wilson 8+,2,324890329
St Kilda Saints v Carlton,St Kilda Saints,Carlton,Player Marks,Darcy Wilson,St Kilda Saints,9.5,6.25,NA,BetRight,Carlton,Player Props,61294232,Darcy Wilson 10+,3,324890327
