match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Sam Berry,Adelaide Crows,4.5,1.56,BetRight,Melbourne Demons,Player Tackles - Sam Berry (ADEL),47449437,Sam Berry 5+,1
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Sam Berry,Adelaide Crows,6.5,3.05,BetRight,Melbourne Demons,Player Tackles - Sam Berry (ADEL),47449437,Sam Berry 7+,2
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Sam Berry,Adelaide Crows,8.5,7,BetRight,Melbourne Demons,Player Tackles - Sam Berry (ADEL),47449437,Sam Berry 9+,3
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Isaac Cumming,Adelaide Crows,2.5,1.37,BetRight,Melbourne Demons,Player Tackles - Isaac Cumming (ADEL),47449438,Isaac Cumming 3+,1
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Isaac Cumming,Adelaide Crows,3.5,1.95,BetRight,Melbourne Demons,Player Tackles - Isaac Cumming (ADEL),47449438,Isaac Cumming 4+,2
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Isaac Cumming,Adelaide Crows,4.5,2.95,BetRight,Melbourne Demons,Player Tackles - Isaac Cumming (ADEL),47449438,Isaac Cumming 5+,3
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Isaac Cumming,Adelaide Crows,5.5,5,BetRight,Melbourne Demons,Player Tackles - Isaac Cumming (ADEL),47449438,Isaac Cumming 6+,4
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Daniel Curtin,Adelaide Crows,2.5,1.17,BetRight,Melbourne Demons,Player Tackles - Daniel Curtin (ADEL),47449439,Daniel Curtin 3+,1
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Daniel Curtin,Adelaide Crows,3.5,1.47,BetRight,Melbourne Demons,Player Tackles - Daniel Curtin (ADEL),47449439,Daniel Curtin 4+,2
Adelaide Crows v Melbourne Demons,Adelaide Crows,Melbourne Demons,Player Tackles,Daniel Curtin,Adelaide Crows,4.5,2.04,BetRight,Melbourne Demons,Player Tackles - Daniel Curtin (ADEL),47449439,Daniel Curtin 5+,3
