match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Andrew Brayshaw,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,99.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Caleb Serong,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,89.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Shai Bolton,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,90.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jordan Clark,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,87.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Jackson,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,109.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Ryan,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,90.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jai Newcombe,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,91.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jarman Impey,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,94.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Karl Amon,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,94.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Connor Macdonald,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,88.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,James Sicily,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,90.5,1.79,1.79,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Jackson,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,79.5,1.05,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Andrew Brayshaw,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,79.5,1.14,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jarman Impey,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,79.5,1.22,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Karl Amon,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,79.5,1.22,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jai Newcombe,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,79.5,1.26,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Ryan,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,79.5,1.28,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,James Sicily,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,79.5,1.28,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Shai Bolton,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,79.5,1.28,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Jackson,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,89.5,1.15,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Andrew Brayshaw,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,89.5,1.32,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jarman Impey,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,89.5,1.46,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Karl Amon,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,89.5,1.46,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Jai Newcombe,Hawthorn Hawks,Fremantle Dockers,Player Fantasy Points,89.5,1.55,NA,Dabble
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Luke Ryan,Fremantle Dockers,Hawthorn Hawks,Player Fantasy Points,89.5,1.6,NA,Dabble
