match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Isaac Kako,Essendon Bombers,Gold Coast Suns,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Zach Merrett,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben Long,Gold Coast Suns,Essendon Bombers,Player Goals,2.5,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Matt Rowell,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Noah Anderson,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Jye Menzie,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Xavier Duursma,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Kyle Langford,Essendon Bombers,Gold Coast Suns,Player Goals,1,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Liam McMahon,Essendon Bombers,Gold Coast Suns,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ethan Read,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Jy Farrar,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben Ainsworth,Gold Coast Suns,Essendon Bombers,Player Goals,1,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben King,Gold Coast Suns,Essendon Bombers,Player Goals,3.5,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Archie Perkins,Essendon Bombers,Gold Coast Suns,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Bailey Humphrey,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,1.79,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Touk Miller,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Sam Flanders,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Matt Guelfi,Essendon Bombers,Gold Coast Suns,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Connor Budarick,Gold Coast Suns,Essendon Bombers,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Peter Wright,Essendon Bombers,Gold Coast Suns,Player Goals,1.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Sam Durham,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.79,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben King,Gold Coast Suns,Essendon Bombers,Player Goals,5.5,2.8,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben King,Gold Coast Suns,Essendon Bombers,Player Goals,4.5,1.9,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben Long,Gold Coast Suns,Essendon Bombers,Player Goals,4.5,4.5,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben King,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.01,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben Long,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.04,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ethan Read,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.16,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Bailey Humphrey,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.16,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Jy Farrar,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.17,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Peter Wright,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.25,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Liam McMahon,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.3,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Ben Ainsworth,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.33,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Kyle Langford,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.33,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Jake Rogers,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.4,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Connor Budarick,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.65,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Matt Guelfi,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.65,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Isaac Kako,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.72,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Sam Flanders,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.75,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Archie Perkins,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,1.75,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Touk Miller,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,1.77,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Rhys Unwin,Essendon Bombers,Gold Coast Suns,Player Goals,0.5,2.1,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Brayden Fiorini,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,2.25,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Jarrod Witts,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,3,NA,Dabble
Gold Coast Suns v Essendon Bombers,Gold Coast Suns,Essendon Bombers,Lachie Weller,Gold Coast Suns,Essendon Bombers,Player Goals,0.5,3,NA,Dabble
