match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Callum Wilkie,St Kilda Saints,Adelaide Crows,Player Marks,9,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Wayne Milera,Adelaide Crows,St Kilda Saints,Player Marks,6,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Jack Silvagni,St Kilda Saints,Adelaide Crows,Player Marks,6,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Bradley Hill,St Kilda Saints,Adelaide Crows,Player Marks,6,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Josh Worrell,Adelaide Crows,St Kilda Saints,Player Marks,6.5,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Riley Thilthorpe,Adelaide Crows,St Kilda Saints,Player Marks,5.5,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Jack Sinclair,St Kilda Saints,Adelaide Crows,Player Marks,6,1.79,1.79,Dabble
Adelaide Crows v St Kilda Saints,Adelaide Crows,St Kilda Saints,Rory Laird,Adelaide Crows,St Kilda Saints,Player Marks,7,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Dylan Stephens,North Melbourne Kangaroos,Richmond Tigers,Player Marks,6,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Nathan Broad,Richmond Tigers,North Melbourne Kangaroos,Player Marks,4.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Cooper Trembath,North Melbourne Kangaroos,Richmond Tigers,Player Marks,5.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Noah Balta,Richmond Tigers,North Melbourne Kangaroos,Player Marks,5.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Jayden Short,Richmond Tigers,North Melbourne Kangaroos,Player Marks,6.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Nick Vlastuin,Richmond Tigers,North Melbourne Kangaroos,Player Marks,5.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Griffin Logue,North Melbourne Kangaroos,Richmond Tigers,Player Marks,7.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Ben Miller,Richmond Tigers,North Melbourne Kangaroos,Player Marks,6.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Nick Larkey,North Melbourne Kangaroos,Richmond Tigers,Player Marks,5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Harry Sheezel,North Melbourne Kangaroos,Richmond Tigers,Player Marks,6.5,1.79,1.79,Dabble
North Melbourne Kangaroos v Richmond Tigers,North Melbourne Kangaroos,Richmond Tigers,Caleb Daniel,North Melbourne Kangaroos,Richmond Tigers,Player Marks,6,1.79,1.79,Dabble
