match,event_id,home_team,away_team,market_name,market_id,player_name,player_team,opposition_team,entrant_id,line,over_price,under_price,agency
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Christian Petracca,Melbourne Demons,St Kilda Saints,d58174da-75b5-4972-9012-997edc375031,99.5,2.15,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Christian Salem,Melbourne Demons,St Kilda Saints,ab5d1ee9-2247-4c54-a7be-be6c0c5fc310,99.5,2.6,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Jack Macrae,St Kilda Saints,Melbourne Demons,63631df4-55f4-4f6c-a418-5dc56c43024a,99.5,1.96,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Nasiah Wanganeen-Milera,St Kilda Saints,Melbourne Demons,5360aad8-826c-43f4-8620-0ffeee6e1943,99.5,1.28,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Jack Viney,Melbourne Demons,St Kilda Saints,c5c944d9-f7cf-4a32-a824-543b11cab38c,99.5,2.85,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Jack Sinclair,St Kilda Saints,Melbourne Demons,259dd0fc-2e35-4f6d-93fc-e83aac3dbd97,99.5,1.6400000000000001,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Kysaiah Pickett,Melbourne Demons,St Kilda Saints,bee7d0fd-4fe8-4c5b-b579-50e79710c3f4,99.5,2.6,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,2aac4e21-d9fc-49fa-9873-09b9b6c0f987,Jack Steele,St Kilda Saints,Melbourne Demons,7c4af96d-1564-4a52-a3c9-cebb9c6c2436,99.5,1.6,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,394718bb-8b10-4f37-99ff-212c45de6c32,Nasiah Wanganeen-Milera,St Kilda Saints,Melbourne Demons,dd388668-409e-426c-91f5-4bfbae53d734,119.5,2.35,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,464a302c-71fb-46a0-90dc-25b0d6e46aa0,Jack Macrae,St Kilda Saints,Melbourne Demons,894c6a04-c9a1-491b-935d-2df58d06996d,109.5,3.2,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,464a302c-71fb-46a0-90dc-25b0d6e46aa0,Jack Sinclair,St Kilda Saints,Melbourne Demons,0a3cab04-862d-4d09-afcf-d588e58040f9,109.5,2.4,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,464a302c-71fb-46a0-90dc-25b0d6e46aa0,Jack Steele,St Kilda Saints,Melbourne Demons,e197ec65-b27c-4756-9a70-aec1e981ec9e,109.5,2.3,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,464a302c-71fb-46a0-90dc-25b0d6e46aa0,Nasiah Wanganeen-Milera,St Kilda Saints,Melbourne Demons,e7d02ae1-a3de-4ce5-9c57-b78ccd20664b,109.5,1.65,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Marcus Windhager,St Kilda Saints,Melbourne Demons,621c73da-cd75-4a72-b787-5b8a9b326c6d,89.5,2.4,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Trent Rivers,Melbourne Demons,St Kilda Saints,59148b4b-a06c-420e-bd9b-c7b275636786,89.5,2.3,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Callum Wilkie,St Kilda Saints,Melbourne Demons,98dc6a21-f051-4258-8c59-3edb7c37d210,89.5,2.4,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Jack Macrae,St Kilda Saints,Melbourne Demons,ebf07eb3-4075-4ba2-ad2e-6a0ba31f9ebb,89.5,1.4,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Christian Petracca,Melbourne Demons,St Kilda Saints,16cb4943-07d2-4ed8-b58e-d22ea5040962,89.5,1.48,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Jake Bowey,Melbourne Demons,St Kilda Saints,eb023373-b6f4-4edb-aaf9-977898306ec6,89.5,1.98,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Clayton Oliver,Melbourne Demons,St Kilda Saints,3f66b429-b533-46c9-ae19-0afc4c76aad0,89.5,2.05,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Jack Steele,St Kilda Saints,Melbourne Demons,3b5780f7-8c2d-4847-a1be-111c1abe3bbd,89.5,1.24,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Ed Langdon,Melbourne Demons,St Kilda Saints,2dcbb8b1-807a-4486-a63f-51678c4e6c51,89.5,2.7,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Bradley Hill,St Kilda Saints,Melbourne Demons,03181c00-a290-4670-9c82-959df5a0767c,89.5,3.25,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Kysaiah Pickett,Melbourne Demons,St Kilda Saints,a56d4385-0482-44ad-a3cd-7243a1ee1485,89.5,1.6800000000000002,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Christian Salem,Melbourne Demons,St Kilda Saints,2cc16ed9-dbc4-4027-9007-0d9952bc705d,89.5,1.6800000000000002,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Nasiah Wanganeen-Milera,St Kilda Saints,Melbourne Demons,7dd1d11c-4dbf-424f-be8c-408bbe28f51c,89.5,1.09,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Jack Sinclair,St Kilda Saints,Melbourne Demons,8f5a1c42-887f-4dc2-b67b-e049d25f249e,89.5,1.26,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,4d3d4e8e-0ad3-4d55-8926-9f2bda126c6e,Jack Viney,Melbourne Demons,St Kilda Saints,815cf53c-18c3-4e41-8560-cced4cf1c076,89.5,1.78,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Kade Chandler,Melbourne Demons,St Kilda Saints,578ead24-4c51-4644-8edd-64f05c486edd,79.5,2.75,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Blake Howes,Melbourne Demons,St Kilda Saints,066c9ad0-0ff0-4280-916a-f45c7312f5bd,79.5,3.25,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Trent Rivers,Melbourne Demons,St Kilda Saints,6b62bd3c-0f13-4b38-a90b-32c68abc63ad,79.5,1.5,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Arie Schoenmaker,St Kilda Saints,Melbourne Demons,1fb7bf33-2d18-4113-bd0d-0c73677e5ce7,79.5,3.35,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Kysaiah Pickett,Melbourne Demons,St Kilda Saints,81025349-e268-46ce-a163-acaa568d6666,79.5,1.25,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Zak Jones,St Kilda Saints,Melbourne Demons,52c16d58-4f2f-4573-a5d8-0da0fc4b6e2e,79.5,2.75,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Hunter Clark,St Kilda Saints,Melbourne Demons,80ee50aa-8ce2-4d6a-ba21-018a52505050,79.5,3.9,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Jack Higgins,St Kilda Saints,Melbourne Demons,c89da18d-e73a-41c6-89b1-c1a264fa47cc,79.5,4.1,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Clayton Oliver,Melbourne Demons,St Kilda Saints,b3c30407-0799-4f23-abbd-f12f7072d454,79.5,1.42,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Ryan Byrnes,St Kilda Saints,Melbourne Demons,26ba5bac-2456-4bcd-9b6f-b771bac38a9f,79.5,3,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Ed Langdon,Melbourne Demons,St Kilda Saints,bab613f6-34b8-4e62-b7e3-d5a12d2d007a,79.5,1.6800000000000002,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Jack Sinclair,St Kilda Saints,Melbourne Demons,b67f832e-f0fa-42a1-9386-0e1e565253f5,79.5,1.06,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Harvey Langford,NA,NA,be1a9c7d-6099-4bbf-90ef-32df18683621,79.5,2.85,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Jack Steele,St Kilda Saints,Melbourne Demons,e810edf3-f683-4f73-a13a-6c58d21bc481,79.5,1.05,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Jake Bowey,Melbourne Demons,St Kilda Saints,4677a647-206a-465d-9ef3-d20981008c95,79.5,1.38,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Callum Wilkie,St Kilda Saints,Melbourne Demons,f0f032c2-19d8-4b4b-a73a-8b0401722bf0,79.5,1.5699999999999998,NA,Neds
St Kilda Saints v Melbourne Demons,a6d28814-b52a-4c86-85ac-991e9c407e97,St Kilda Saints,Melbourne Demons,Player Fantasy Points,500e125e-aeaa-4a6a-b605-efc8db205823,Christian Petracca,Melbourne Demons,St Kilda Saints,87e58432-3c79-40c7-be6c-712709f5a1c5,79.5,1.17,NA,Neds
