match,event_id,home_team,away_team,market_name,market_id,player_name,player_team,opposition_team,entrant_id,line,over_price,under_price,agency
GWS Giants v Brisbane Lions,94b43d4e-9900-413e-8169-638a8eb7069a,GWS Giants,Brisbane Lions,Player Goals,407d2269-8447-487b-9e3d-8a1910b57927,Logan Morris,Brisbane Lions,GWS Giants,24f222a8-f13f-40e8-b574-0ff24c3afc31,5.5,16,NA,Neds
GWS Giants v Brisbane Lions,94b43d4e-9900-413e-8169-638a8eb7069a,GWS Giants,Brisbane Lions,Player Goals,407d2269-8447-487b-9e3d-8a1910b57927,Jake Stringer,GWS Giants,Brisbane Lions,3725ea00-6001-47dc-85d3-9ffe2a0e10fc,5.5,41,NA,Neds
GWS Giants v Brisbane Lions,94b43d4e-9900-413e-8169-638a8eb7069a,GWS Giants,Brisbane Lions,Player Goals,407d2269-8447-487b-9e3d-8a1910b57927,Aaron Cadman,GWS Giants,Brisbane Lions,f135cb75-fc5d-42e3-a8ec-c644a0a2bcc8,5.5,29,NA,Neds
GWS Giants v Brisbane Lions,94b43d4e-9900-413e-8169-638a8eb7069a,GWS Giants,Brisbane Lions,Player Goals,407d2269-8447-487b-9e3d-8a1910b57927,Charlie Cameron,Brisbane Lions,GWS Giants,907d04df-fc6f-4347-b8f4-59b5baa432aa,5.5,26,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,4f829696-e6eb-429c-86d8-58465a0a21ca,Aaron Naughton,Western Bulldogs,Melbourne Demons,fe977716-63b3-4fe3-875e-d933034ad1a6,6.5,41,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,4f829696-e6eb-429c-86d8-58465a0a21ca,Jacob van Rooyen,Melbourne Demons,Western Bulldogs,42ce0a00-47ef-49f2-944e-7236895ec556,6.5,67,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,5ada1bb1-4945-4c9f-8c75-fd6f094ea42d,Jacob van Rooyen,Melbourne Demons,Western Bulldogs,fb039ab7-aed3-4f1c-89d7-0d3563b6bfed,5.5,26,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,5ada1bb1-4945-4c9f-8c75-fd6f094ea42d,Aaron Naughton,Western Bulldogs,Melbourne Demons,2050e4a2-c21d-4f98-8b7c-f240269886b1,5.5,16,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,5ada1bb1-4945-4c9f-8c75-fd6f094ea42d,Bayley Fritsch,Melbourne Demons,Western Bulldogs,78ead6aa-c17a-4b15-8178-610e32c5e55e,5.5,67,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,5ada1bb1-4945-4c9f-8c75-fd6f094ea42d,Rhylee West,Western Bulldogs,Melbourne Demons,93b8cfd7-9f94-4b6f-8e88-c386dbe20fcb,5.5,41,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,7bcb80a5-c9cf-4421-8e92-23e15d4d4819,Marcus Bontempelli,Western Bulldogs,Melbourne Demons,1a8bcd5d-ad94-4320-937c-0ed31d3d7fbd,1.5,2.35,NA,Neds
Western Bulldogs v Melbourne Demons,73c9e1a5-4f58-4c7b-a76c-c2010ae795a4,Western Bulldogs,Melbourne Demons,Player Goals,7bcb80a5-c9cf-4421-8e92-23e15d4d4819,Rhylee West,Western Bulldogs,Melbourne Demons,e2709c14-1928-4531-8059-fef5a6f70963,1.5,1.6400000000000001,NA,Neds
