match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Kane Farrell,Port Adelaide Power,59.5,1.14,NA,Pointsbet,West Coast Eagles,2340768,91523306,4,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Brandon Zerk-Thatcher,Port Adelaide Power,59.5,1.71,NA,Pointsbet,West Coast Eagles,2340768,91523306,5,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Joe Richards,Port Adelaide Power,59.5,1.4,NA,Pointsbet,West Coast Eagles,2340768,91523306,7,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Mitch Georgiades,Port Adelaide Power,59.5,1.29,NA,Pointsbet,West Coast Eagles,2340768,91523306,9,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Lachie Jones,Port Adelaide Power,59.5,1.9,NA,Pointsbet,West Coast Eagles,2340768,91523306,10,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Hugh Jackson,Port Adelaide Power,59.5,1.87,NA,Pointsbet,West Coast Eagles,2340768,91523306,13,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Josh Sinn,Port Adelaide Power,59.5,1.24,NA,Pointsbet,West Coast Eagles,2340768,91523306,14,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Aliir Aliir,Port Adelaide Power,59.5,1.71,NA,Pointsbet,West Coast Eagles,2340768,91523306,18,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Willie Rioli,Port Adelaide Power,59.5,1.74,NA,Pointsbet,West Coast Eagles,2340768,91523306,19,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Darcy Byrne-Jones,Port Adelaide Power,59.5,1.74,NA,Pointsbet,West Coast Eagles,2340768,91523306,20,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Mani Liddy,NA,59.5,1.87,NA,Pointsbet,NA,2340768,91523306,23,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Liam Ryan,West Coast Eagles,59.5,1.83,NA,Pointsbet,Port Adelaide Power,2340768,91523306,25,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Bailey J. Williams,West Coast Eagles,59.5,1.87,NA,Pointsbet,Port Adelaide Power,2340768,91523306,26,NA
Port Adelaide Power v West Coast Eagles,Port Adelaide Power,West Coast Eagles,Player Fantasy Points,Harry Edwards,West Coast Eagles,59.5,1.71,NA,Pointsbet,Port Adelaide Power,2340768,91523306,27,NA
