match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jeremy Cameron,Geelong Cats,0.5,1.01,NA,Pointsbet,Sydney Swans,2383317,93545635,40,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Shannon Neale,Geelong Cats,0.5,1.09,NA,Pointsbet,Sydney Swans,2383317,93545635,32,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Isaac Heeney,Sydney Swans,0.5,1.22,NA,Pointsbet,Geelong Cats,2383317,93545635,19,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Hayden Mclean,NA,0.5,1.25,NA,Pointsbet,NA,2383317,93545635,1,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Tyson Stengle,Geelong Cats,0.5,1.27,NA,Pointsbet,Sydney Swans,2383317,93545635,44,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Will Hayward,Sydney Swans,0.5,1.29,NA,Pointsbet,Geelong Cats,2383317,93545635,49,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Tom Papley,Sydney Swans,0.5,1.4,NA,Pointsbet,Geelong Cats,2383317,93545635,22,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Patrick Dangerfield,Geelong Cats,0.5,1.4,NA,Pointsbet,Sydney Swans,2383317,93545635,50,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Chad Warner,Sydney Swans,0.5,1.48,NA,Pointsbet,Geelong Cats,2383317,93545635,8,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Shaun Mannagh,Geelong Cats,0.5,1.48,NA,Pointsbet,Sydney Swans,2383317,93545635,42,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jack Buller,Sydney Swans,0.5,1.5,NA,Pointsbet,Geelong Cats,2383317,93545635,6,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jack Martin,Geelong Cats,0.5,1.5,NA,Pointsbet,Sydney Swans,2383317,93545635,47,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Brad Close,Geelong Cats,0.5,1.63,NA,Pointsbet,Sydney Swans,2383317,93545635,46,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Oliver Dempsey,Geelong Cats,0.5,1.67,NA,Pointsbet,Sydney Swans,2383317,93545635,36,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Braeden Campbell,Sydney Swans,0.5,1.83,NA,Pointsbet,Geelong Cats,2383317,93545635,10,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Gryan Miers,Geelong Cats,0.5,2.25,NA,Pointsbet,Sydney Swans,2383317,93545635,26,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Errol Gulden,Sydney Swans,0.5,2.35,NA,Pointsbet,Geelong Cats,2383317,93545635,9,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jesse Dattoli,Sydney Swans,0.5,2.35,NA,Pointsbet,Geelong Cats,2383317,93545635,14,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Mark Blicavs,Geelong Cats,0.5,2.35,NA,Pointsbet,Sydney Swans,2383317,93545635,41,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Max Holmes,Geelong Cats,0.5,2.55,NA,Pointsbet,Sydney Swans,2383317,93545635,31,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,James Rowbottom,Sydney Swans,0.5,2.6,NA,Pointsbet,Geelong Cats,2383317,93545635,3,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,James Jordon,Sydney Swans,0.5,2.6,NA,Pointsbet,Geelong Cats,2383317,93545635,11,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jake Lloyd,Sydney Swans,0.5,2.6,NA,Pointsbet,Geelong Cats,2383317,93545635,18,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Peter Ladhams,Sydney Swans,0.5,2.7,NA,Pointsbet,Geelong Cats,2383317,93545635,48,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Bailey Smith,Geelong Cats,0.5,2.85,NA,Pointsbet,Sydney Swans,2383317,93545635,27,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Nick Blakey,Sydney Swans,0.5,3.1,NA,Pointsbet,Geelong Cats,2383317,93545635,2,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Angus Sheldrick,Sydney Swans,0.5,3.6,NA,Pointsbet,Geelong Cats,2383317,93545635,12,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Lawson Humphries,Geelong Cats,0.5,4,NA,Pointsbet,Sydney Swans,2383317,93545635,30,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Rhys Stanley,Geelong Cats,0.5,4,NA,Pointsbet,Sydney Swans,2383317,93545635,38,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Sam Wicks,Sydney Swans,0.5,4.2,NA,Pointsbet,Geelong Cats,2383317,93545635,4,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Tom Mccartin,NA,0.5,4.2,NA,Pointsbet,NA,2383317,93545635,5,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Dane Rampe,Sydney Swans,0.5,4.2,NA,Pointsbet,Geelong Cats,2383317,93545635,15,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Callum Mills,Sydney Swans,0.5,4.2,NA,Pointsbet,Geelong Cats,2383317,93545635,20,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Oliver Florent,Sydney Swans,0.5,4.2,NA,Pointsbet,Geelong Cats,2383317,93545635,23,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Mark O'connor,NA,0.5,4.2,NA,Pointsbet,NA,2383317,93545635,28,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Sam De Koning,Geelong Cats,0.5,4.2,NA,Pointsbet,Sydney Swans,2383317,93545635,29,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Oisin Mullin,Geelong Cats,0.5,4.2,NA,Pointsbet,Sydney Swans,2383317,93545635,35,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Tom Atkins,Geelong Cats,0.5,4.2,NA,Pointsbet,Sydney Swans,2383317,93545635,43,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Connor O'sullivan,NA,0.5,5,NA,Pointsbet,NA,2383317,93545635,37,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Zach Guthrie,Geelong Cats,0.5,5.25,NA,Pointsbet,Sydney Swans,2383317,93545635,25,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Tom Stewart,Geelong Cats,0.5,5.25,NA,Pointsbet,Sydney Swans,2383317,93545635,39,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Jack Henry,Geelong Cats,0.5,7.5,NA,Pointsbet,Sydney Swans,2383317,93545635,24,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Harry Cunningham,Sydney Swans,0.5,8,NA,Pointsbet,Geelong Cats,2383317,93545635,16,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Lewis Melican,Sydney Swans,0.5,8,NA,Pointsbet,Geelong Cats,2383317,93545635,21,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Hayden Mclean,NA,1.5,2.25,NA,Pointsbet,NA,2383317,93545641,1,NA
Sydney Swans v Geelong Cats,Sydney Swans,Geelong Cats,Player Goals,Nick Blakey,Sydney Swans,1.5,11,NA,Pointsbet,Geelong Cats,2383317,93545641,2,NA
