match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Steele,Melbourne Demons,1.5,1.2,Pointsbet,Carlton,2860314,114104349,1
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Steele,Melbourne Demons,3.5,2.3,Pointsbet,Carlton,2860314,114104349,2
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Steele,Melbourne Demons,5.5,6,Pointsbet,Carlton,2860314,114104349,3
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Changkuoth Jiath,Melbourne Demons,3.5,1.13,Pointsbet,Carlton,2860314,114104349,7
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Changkuoth Jiath,Melbourne Demons,5.5,1.69,Pointsbet,Carlton,2860314,114104349,8
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Changkuoth Jiath,Melbourne Demons,7.5,3.2,Pointsbet,Carlton,2860314,114104349,9
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Changkuoth Jiath,Melbourne Demons,9.5,7,Pointsbet,Carlton,2860314,114104349,10
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bayley Fritsch,Melbourne Demons,1.5,1.07,Pointsbet,Carlton,2860314,114104349,11
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bayley Fritsch,Melbourne Demons,3.5,1.56,Pointsbet,Carlton,2860314,114104349,12
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bayley Fritsch,Melbourne Demons,5.5,3.3,Pointsbet,Carlton,2860314,114104349,13
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bayley Fritsch,Melbourne Demons,7.5,9,Pointsbet,Carlton,2860314,114104349,14
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kade Chandler,Melbourne Demons,1.5,1.17,Pointsbet,Carlton,2860314,114104349,16
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kade Chandler,Melbourne Demons,3.5,2.15,Pointsbet,Carlton,2860314,114104349,17
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kade Chandler,Melbourne Demons,5.5,5.5,Pointsbet,Carlton,2860314,114104349,18
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Sharp,Melbourne Demons,1.5,1.17,Pointsbet,Carlton,2860314,114104349,21
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Sharp,Melbourne Demons,3.5,2.2,Pointsbet,Carlton,2860314,114104349,22
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Sharp,Melbourne Demons,5.5,5.75,Pointsbet,Carlton,2860314,114104349,23
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kysaiah Pickett,Melbourne Demons,1.5,1.29,Pointsbet,Carlton,2860314,114104349,26
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kysaiah Pickett,Melbourne Demons,3.5,2.6,Pointsbet,Carlton,2860314,114104349,27
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Kysaiah Pickett,Melbourne Demons,5.5,7,Pointsbet,Carlton,2860314,114104349,28
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harrison Petty,Melbourne Demons,3.5,1.08,Pointsbet,Carlton,2860314,114104349,32
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harrison Petty,Melbourne Demons,5.5,1.44,Pointsbet,Carlton,2860314,114104349,33
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harrison Petty,Melbourne Demons,7.5,2.6,Pointsbet,Carlton,2860314,114104349,34
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harrison Petty,Melbourne Demons,9.5,5.75,Pointsbet,Carlton,2860314,114104349,35
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Trent Rivers,Melbourne Demons,1.5,1.08,Pointsbet,Carlton,2860314,114104349,36
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Trent Rivers,Melbourne Demons,3.5,1.56,Pointsbet,Carlton,2860314,114104349,37
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Trent Rivers,Melbourne Demons,5.5,3.1,Pointsbet,Carlton,2860314,114104349,38
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Trent Rivers,Melbourne Demons,7.5,7,Pointsbet,Carlton,2860314,114104349,39
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Bowey,Melbourne Demons,1.5,1.03,Pointsbet,Carlton,2860314,114104349,41
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Bowey,Melbourne Demons,3.5,1.36,Pointsbet,Carlton,2860314,114104349,42
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Bowey,Melbourne Demons,5.5,2.4,Pointsbet,Carlton,2860314,114104349,43
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Bowey,Melbourne Demons,7.5,5.5,Pointsbet,Carlton,2860314,114104349,44
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Bowey,Melbourne Demons,9.5,14,Pointsbet,Carlton,2860314,114104349,45
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,1.5,1.2,Pointsbet,Carlton,2860314,114104349,46
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,3.5,2.35,Pointsbet,Carlton,2860314,114104349,47
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,5.5,6.5,Pointsbet,Carlton,2860314,114104349,48
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Daniel Turner,Melbourne Demons,3.5,1.11,Pointsbet,Carlton,2860314,114104349,52
