match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Toby Bedford,GWS Giants,3.5,1.04,Pointsbet,Collingwood Magpies,2205490,81417830,1002
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Toby Bedford,GWS Giants,5.5,1.26,Pointsbet,Collingwood Magpies,2205490,81417830,1003
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Toby Bedford,GWS Giants,7.5,1.91,Pointsbet,Collingwood Magpies,2205490,81417830,1004
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Toby Bedford,GWS Giants,9.5,3.7,Pointsbet,Collingwood Magpies,2205490,81417830,1005
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Harry Perryman,Collingwood Magpies,3.5,1.1,Pointsbet,GWS Giants,2205490,81417830,1007
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Harry Perryman,Collingwood Magpies,5.5,1.49,Pointsbet,GWS Giants,2205490,81417830,1008
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Harry Perryman,Collingwood Magpies,7.5,2.7,Pointsbet,GWS Giants,2205490,81417830,1009
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Harry Perryman,Collingwood Magpies,9.5,6.5,Pointsbet,GWS Giants,2205490,81417830,1010
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Kieren Briggs,GWS Giants,1.5,1.02,Pointsbet,Collingwood Magpies,2205490,81417830,1011
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Kieren Briggs,GWS Giants,3.5,1.26,Pointsbet,Collingwood Magpies,2205490,81417830,1012
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Kieren Briggs,GWS Giants,5.5,2.15,Pointsbet,Collingwood Magpies,2205490,81417830,1013
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Kieren Briggs,GWS Giants,7.5,5,Pointsbet,Collingwood Magpies,2205490,81417830,1014
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Lachie Schultz,Collingwood Magpies,1.5,1.13,Pointsbet,GWS Giants,2205490,81417830,1016
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Lachie Schultz,Collingwood Magpies,3.5,2,Pointsbet,GWS Giants,2205490,81417830,1017
GWS Giants v Collingwood Magpies,GWS Giants,Collingwood Magpies,Player Tackles,Lachie Schultz,Collingwood Magpies,5.5,5.5,Pointsbet,GWS Giants,2205490,81417830,1018
