match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Callum Ah Chee,Brisbane Lions,14.5,1.65,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481306,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Cam Rayner,Brisbane Lions,14.5,1.27,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481304,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Conor McKenna,Brisbane Lions,14.5,1.19,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1966368093,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Darcy Wilmot,Brisbane Lions,14.5,1.09,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481307,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jaspa Fletcher,Brisbane Lions,14.5,1.6,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481312,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Joe Daniher,Brisbane Lions,14.5,1.33,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481303,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Noah Answerth,Brisbane Lions,14.5,1.87,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1966368092,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Oscar McInerney,Brisbane Lions,14.5,1.9,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481300,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Ryan Lester,Brisbane Lions,14.5,1.86,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481301,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Zac Bailey,Brisbane Lions,14.5,1.5,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481302,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Darragh Joyce,Brisbane Lions,14.5,2.6,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481309,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Eric Hipwood,Brisbane Lions,14.5,2.65,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481297,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Harris Andrews,Brisbane Lions,14.5,2.2,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481298,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Kai Lohmann,Brisbane Lions,14.5,2.75,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481308,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Charlie Cameron,Brisbane Lions,14.5,3.2,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278948,1964481295,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Archie Perkins,Essendon Bombers,14.5,1.61,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481328,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Archie Roberts,Essendon Bombers,14.5,1.27,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481335,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Ben McKay,Essendon Bombers,14.5,1.91,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481332,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jake Kelly,Essendon Bombers,14.5,1.85,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481315,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jayden Laverde,Essendon Bombers,14.5,1.67,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481319,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Mason Redman,Essendon Bombers,14.5,1.06,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481321,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Matt Guelfi,Essendon Bombers,14.5,1.87,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1966368094,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Harrison Jones,Essendon Bombers,14.5,2.25,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481326,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jade Gresham,Essendon Bombers,14.5,2.25,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481333,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jake Stringer,Essendon Bombers,14.5,2.5,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481318,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Kyle Langford,Essendon Bombers,14.5,2.65,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481320,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Nate Caddy,Essendon Bombers,14.5,3.6,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481334,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Nick Bryan,Essendon Bombers,14.5,3.3,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481327,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Sam Draper,Essendon Bombers,14.5,4.3,NA,Sportsbet,Brisbane Lions,103,17131,12544625,440278948,1964481322,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Darcy Wilmot,Brisbane Lions,19.5,1.65,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480632,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Dayne Zorko,Brisbane Lions,19.5,1.08,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480621,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Hugh McCluggage,Brisbane Lions,19.5,1.1,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480624,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Will Ashcroft,Brisbane Lions,19.5,1.15,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480636,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Cam Rayner,Brisbane Lions,19.5,2.1,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480629,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Conor McKenna,Brisbane Lions,19.5,2.18,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1966368075,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Joe Daniher,Brisbane Lions,19.5,2.55,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480628,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Zac Bailey,Brisbane Lions,19.5,2.85,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480627,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Callum Ah Chee,Brisbane Lions,19.5,3.5,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480631,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Jaspa Fletcher,Brisbane Lions,19.5,4,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480637,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Oscar McInerney,Brisbane Lions,19.5,4.5,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480625,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Noah Answerth,Brisbane Lions,19.5,5.25,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1966368074,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Ryan Lester,Brisbane Lions,19.5,5.3,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480626,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Darragh Joyce,Brisbane Lions,19.5,7.75,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480634,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Eric Hipwood,Brisbane Lions,19.5,7.75,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480622,NA
Brisbane Lions v Essendon Bombers,Brisbane Lions,Essendon Bombers,Player Disposals,Harris Andrews,Brisbane Lions,19.5,7.25,NA,Sportsbet,Essendon Bombers,103,17131,12544625,440278915,1964480623,NA
