match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Jack Bowes,Geelong Cats,0.5,1.83,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441414,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Jack Martin,Geelong Cats,0.5,1.3,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2724112248,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Jeremy Cameron,Geelong Cats,0.5,1.05,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441405,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Mark Blicavs,Geelong Cats,0.5,1.95,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441408,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Oliver Dempsey,Geelong Cats,0.5,1.48,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441407,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Oliver Henry,Geelong Cats,0.5,1.32,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441424,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Oliver Wiltshire,Geelong Cats,0.5,1.95,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441411,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Patrick Dangerfield,Geelong Cats,0.5,1.22,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441420,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Shannon Neale,Geelong Cats,0.5,1.07,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441410,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Shaun Mannagh,Geelong Cats,0.5,1.43,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441412,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Bailey Smith,Geelong Cats,0.5,2.35,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441403,NA
Geelong Cats v Western Bulldogs,Geelong Cats,Western Bulldogs,Player Goals,Max Holmes,Geelong Cats,0.5,2.65,NA,Sportsbet,Western Bulldogs,103,17131,15532125,569946394,2720441402,NA
