match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Jarrod Berry,Brisbane Lions,7.5,1.7,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724194
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Josh Dunkley,Brisbane Lions,7.5,1.13,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724149
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Levi Ashcroft,Brisbane Lions,7.5,1.99,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724162
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Zac Bailey,Brisbane Lions,7.5,1.64,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724165
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Cam Rayner,Brisbane Lions,7.5,2.25,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724169
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Daniel Annable,Brisbane Lions,7.5,2.4,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2849570511
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Jaspa Fletcher,Brisbane Lions,7.5,2.45,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724189
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Dayne Zorko,Brisbane Lions,7.5,3.7,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724179
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Harris Andrews,Brisbane Lions,7.5,3.5,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724188
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Darcy Fort,Brisbane Lions,7.5,4.4,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2845724163
Brisbane Lions v Hawthorn Hawks,Brisbane Lions,Hawthorn Hawks,Player Handballs,Ryan Lester,Brisbane Lions,7.5,4,Sportsbet,Hawthorn Hawks,103,17131,16219878,596847946,2849570510
