match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Nicholas Madden,GWS Giants,24.5,1.09,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572758763,2733252885
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Nicholas Madden,GWS Giants,29.5,1.53,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572758765,2733252889
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Tristan Xerri,North Melbourne Kangaroos,29.5,1.06,Sportsbet,GWS Giants,103,17131,15566904,572758765,2733252888
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Nicholas Madden,GWS Giants,34.5,3.05,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572758767,2733252893
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Tristan Xerri,North Melbourne Kangaroos,34.5,1.33,Sportsbet,GWS Giants,103,17131,15566904,572758767,2733252892
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Nicholas Madden,GWS Giants,39.5,8,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572758768,2733252895
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Tristan Xerri,North Melbourne Kangaroos,39.5,2.15,Sportsbet,GWS Giants,103,17131,15566904,572758768,2733252894
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Nicholas Madden,GWS Giants,44.5,26,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572758761,2733252880
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Tristan Xerri,North Melbourne Kangaroos,44.5,4.6,Sportsbet,GWS Giants,103,17131,15566904,572758761,2733252881
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Hitouts,Tristan Xerri,North Melbourne Kangaroos,49.5,12.5,Sportsbet,GWS Giants,103,17131,15566904,572758766,2733252890
