match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Brent Daniels,GWS Giants,1.5,1.12,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071706
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Clayton Oliver,GWS Giants,1.5,1.11,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071700
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Finn Callaghan,GWS Giants,1.5,1.06,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071680
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Jake Stringer,GWS Giants,1.5,1.06,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071710
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Nicholas Madden,GWS Giants,1.5,1.24,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071709
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Oliver Hannaford,GWS Giants,1.5,1.1,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071685
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Phoenix Gothard,GWS Giants,1.5,1.1,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071694
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Ryan Angwin,GWS Giants,1.5,1.06,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071708
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Toby Bedford,GWS Giants,1.5,1.13,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071723
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Xavier O'Halloran,GWS Giants,1.5,1.1,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035228,2730071686
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Charlie Spargo,North Melbourne Kangaroos,1.5,1.18,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071689
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Colby McKercher,North Melbourne Kangaroos,1.5,1.06,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071718
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,George Wardlaw,North Melbourne Kangaroos,1.5,1.08,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071711
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Lachy Dovaston,North Melbourne Kangaroos,1.5,1.18,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071714
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Tristan Xerri,North Melbourne Kangaroos,1.5,1.18,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071702
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Zane Duursma,North Melbourne Kangaroos,1.5,1.07,Sportsbet,GWS Giants,103,17131,15566904,572035228,2730071699
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Aaron Cadman,GWS Giants,2.5,1.09,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071890
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Brent Daniels,GWS Giants,2.5,1.44,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071914
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Clayton Oliver,GWS Giants,2.5,1.39,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071881
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Finn Callaghan,GWS Giants,2.5,1.24,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071893
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Harry Himmelberg,GWS Giants,2.5,1.07,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071874
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Harvey Thomas,GWS Giants,2.5,1.15,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071872
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Jake Stringer,GWS Giants,2.5,1.24,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071913
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,James Leake,GWS Giants,2.5,1.11,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2734405571
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Jesse Hogan,GWS Giants,2.5,1.06,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071900
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Leek Aleer,GWS Giants,2.5,1.1,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2734405285
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Nicholas Madden,GWS Giants,2.5,1.82,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071878
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Oliver Hannaford,GWS Giants,2.5,1.39,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071896
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Phoenix Gothard,GWS Giants,2.5,1.39,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071908
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Ryan Angwin,GWS Giants,2.5,1.24,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071876
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Stephen Coniglio,GWS Giants,2.5,1.09,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071904
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Toby Bedford,GWS Giants,2.5,1.47,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071885
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Toby Greene,GWS Giants,2.5,1.15,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071877
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Xavier O'Halloran,GWS Giants,2.5,1.39,Sportsbet,North Melbourne Kangaroos,103,17131,15566904,572035310,2730071888
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Aidan Corr,North Melbourne Kangaroos,2.5,1.09,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071891
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Charlie Spargo,North Melbourne Kangaroos,2.5,1.63,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071897
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Colby McKercher,North Melbourne Kangaroos,2.5,1.23,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071911
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Finn O'Sullivan,North Melbourne Kangaroos,2.5,1.07,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071886
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,George Wardlaw,North Melbourne Kangaroos,2.5,1.31,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071879
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Jack Darling,North Melbourne Kangaroos,2.5,1.19,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071884
GWS Giants v North Melbourne Kangaroos,GWS Giants,North Melbourne Kangaroos,Player Marks,Jy Simpkin,North Melbourne Kangaroos,2.5,1.07,Sportsbet,GWS Giants,103,17131,15566904,572035310,2730071899
