match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Bailey Banfield,Fremantle Dockers,1.5,1.34,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449256
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Brennan Cox,Fremantle Dockers,1.5,1.41,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449254
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Heath Chapman,Fremantle Dockers,1.5,1.1,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449283
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Jaeger O'Meara,Fremantle Dockers,1.5,1.06,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2455315986
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Josh Treacy,Fremantle Dockers,1.5,1.23,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449276
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Jye Amiss,Fremantle Dockers,1.5,1.47,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449262
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Karl Worner,Fremantle Dockers,1.5,1.1,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449240
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Luke Ryan,Fremantle Dockers,1.5,1.08,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449243
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Michael Frederick,Fremantle Dockers,1.5,1.1,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2453449245
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Murphy Reid,NA,1.5,1.08,Sportsbet,NA,103,17131,14051556,515030886,2453449244
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Oscar McDonald,Fremantle Dockers,1.5,1.15,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030886,2455315987
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Blake Hardwick,Hawthorn Hawks,1.5,1.21,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449282
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Calsher Dear,Hawthorn Hawks,1.5,1.67,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449265
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Changkuoth Jiath,Hawthorn Hawks,1.5,1.29,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449280
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Harry Morrison,Hawthorn Hawks,1.5,1.13,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449247
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Jack Ginnivan,Hawthorn Hawks,1.5,1.17,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449278
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Jack Gunston,Hawthorn Hawks,1.5,1.54,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449273
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,James Sicily,Hawthorn Hawks,1.5,1.31,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449261
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Jarman Impey,Hawthorn Hawks,1.5,1.14,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449255
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Josh Battle,Hawthorn Hawks,1.5,1.15,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449246
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Karl Amon,Hawthorn Hawks,1.5,1.08,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449242
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Mabior Chol,Hawthorn Hawks,1.5,1.37,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449252
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Massimo D'Ambrosio,Hawthorn Hawks,1.5,1.33,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449284
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Nick Watson,Hawthorn Hawks,1.5,1.16,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449241
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Tom Barrass,Hawthorn Hawks,1.5,1.59,Sportsbet,Fremantle Dockers,103,17131,14051556,515030886,2453449253
Fremantle Dockers v Hawthorn Hawks,Fremantle Dockers,Hawthorn Hawks,Player Tackles,Caleb Serong,Fremantle Dockers,3.5,1.06,Sportsbet,Hawthorn Hawks,103,17131,14051556,515030884,2453449177
