match,market_name,home_team,away_team,line,over_price,under_price,agency,margin
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,143.5,1.06,5.75,Sportsbet,1.117
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,144.5,1.06,5.5,Sportsbet,1.125
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,145.5,1.07,5.2,Sportsbet,1.127
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,146.5,1.08,4.9,Sportsbet,1.13
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,147.5,1.09,4.6,Sportsbet,1.135
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,148.5,1.1,4.4,Sportsbet,1.136
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,149.5,1.11,4.25,Sportsbet,1.136
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,150.5,1.13,4,Sportsbet,1.135
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,151.5,1.14,3.8,Sportsbet,1.14
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,152.5,1.16,3.6,Sportsbet,1.14
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,153.5,1.17,3.5,Sportsbet,1.14
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,154.5,1.19,3.35,Sportsbet,1.139
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,155.5,1.21,3.2,Sportsbet,1.139
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,156.5,1.23,3.05,Sportsbet,1.141
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,157.5,1.25,2.9,Sportsbet,1.145
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,158.5,1.27,2.8,Sportsbet,1.145
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,159.5,1.29,2.7,Sportsbet,1.146
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,160.5,1.31,2.6,Sportsbet,1.148
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,161.5,1.34,2.5,Sportsbet,1.146
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,162.5,1.37,2.35,Sportsbet,1.155
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,163.5,1.4,2.3,Sportsbet,1.149
