match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Geelong Cats v Brisbane Lions,2025-06-20T09:40:00.000Z,Head To Head,Geelong Cats,1.37,Brisbane Lions,3.15,1.047,TAB
Carlton v North Melbourne Kangaroos,2025-06-21T03:20:00.000Z,Head To Head,Carlton,1.26,North Melbourne Kangaroos,3.9,1.05,TAB
Port Adelaide Power v Sydney Swans,2025-06-21T06:15:00.000Z,Head To Head,Port Adelaide Power,1.74,Sydney Swans,2.1,1.051,TAB
Collingwood Magpies v St Kilda Saints,2025-06-21T09:35:00.000Z,Head To Head,Collingwood Magpies,1.16,St Kilda Saints,5.2,1.054,TAB
GWS Giants v Gold Coast Suns,2025-06-22T03:10:00.000Z,Head To Head,GWS Giants,1.85,Gold Coast Suns,1.95,1.053,TAB
Western Bulldogs v Richmond Tigers,2025-06-22T05:20:00.000Z,Head To Head,Western Bulldogs,1.05,Richmond Tigers,10,1.052,TAB
Port Adelaide Power v Carlton,2025-06-26T09:30:00.000Z,Head To Head,Port Adelaide Power,1.8,Carlton,2,1.056,TAB
Sydney Swans v Western Bulldogs,2025-06-27T09:40:00.000Z,Head To Head,Sydney Swans,2.6,Western Bulldogs,1.5,1.051,TAB
Gold Coast Suns v Melbourne Demons,2025-06-28T03:20:00.000Z,Head To Head,Gold Coast Suns,1.38,Melbourne Demons,3,1.058,TAB
Hawthorn Hawks v North Melbourne Kangaroos,2025-06-28T06:15:00.000Z,Head To Head,Hawthorn Hawks,1.13,North Melbourne Kangaroos,6,1.052,TAB
Collingwood Magpies v West Coast Eagles,2025-06-28T09:35:00.000Z,Head To Head,Collingwood Magpies,1.04,West Coast Eagles,11,1.052,TAB
Richmond Tigers v Adelaide Crows,2025-06-29T05:20:00.000Z,Head To Head,Richmond Tigers,5.5,Adelaide Crows,1.15,1.051,TAB
Fremantle Dockers v St Kilda Saints,2025-06-29T07:10:00.000Z,Head To Head,Fremantle Dockers,1.32,St Kilda Saints,3.4,1.052,TAB
