match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-16.5,1.9,Melbourne Demons,16.5,1.9,1.053,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-53.5,6,Melbourne Demons,53.5,1.11,1.068,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-49.5,5.2,Melbourne Demons,49.5,1.14,1.07,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-45.5,4.5,Melbourne Demons,45.5,1.18,1.07,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-41.5,3.8,Melbourne Demons,41.5,1.24,1.07,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-37.5,3.3,Melbourne Demons,37.5,1.3,1.072,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-33.5,2.9,Melbourne Demons,33.5,1.38,1.069,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-29.5,2.6,Melbourne Demons,29.5,1.46,1.07,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-25.5,2.3,Melbourne Demons,25.5,1.58,1.068,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-21.5,2.1,Melbourne Demons,21.5,1.68,1.071,TAB
Hawthorn Hawks v Melbourne Demons,2026-07-04T03:15:00.000Z,Line,Hawthorn Hawks,-17.5,1.9,Melbourne Demons,17.5,1.85,1.067,TAB
