match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Bodhi Uwland,Gold Coast Suns,Adelaide Crows,9.5,1.01,NA,21510,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Mark Keane,Adelaide Crows,Gold Coast Suns,9.5,1.02,NA,21478,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Isaac Cumming,Adelaide Crows,Gold Coast Suns,9.5,1.03,NA,21491,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Sam Clohesy,Gold Coast Suns,Adelaide Crows,9.5,1.03,NA,21498,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Max Michalanney,Adelaide Crows,Gold Coast Suns,9.5,1.1,NA,21493,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ben Ainsworth,Gold Coast Suns,Adelaide Crows,9.5,1.13,NA,21494,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Riley Thilthorpe,Adelaide Crows,Gold Coast Suns,9.5,1.14,NA,21487,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Connor Budarick,Gold Coast Suns,Adelaide Crows,9.5,1.14,NA,21497,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Reilly OBrien,NA,NA,9.5,1.2,NA,21481,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Mac Andrew,Gold Coast Suns,Adelaide Crows,9.5,1.22,NA,21496,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Leonardo Lombard,Gold Coast Suns,Adelaide Crows,9.5,1.24,NA,38297,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Taylor Walker,Adelaide Crows,Gold Coast Suns,9.5,1.3,NA,21488,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Nick Murray,Adelaide Crows,Gold Coast Suns,9.5,1.3,NA,38224,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Zac Taylor,Adelaide Crows,Gold Coast Suns,9.5,1.3,NA,21486,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ben Long,Gold Coast Suns,Adelaide Crows,9.5,1.3,NA,21504,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Darcy Fogarty,Adelaide Crows,Gold Coast Suns,9.5,1.4,NA,21476,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Luke Pedlar,Adelaide Crows,Gold Coast Suns,9.5,1.42,NA,38254,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ben King,Gold Coast Suns,Adelaide Crows,9.5,1.48,NA,21503,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ethan Read,Gold Coast Suns,Adelaide Crows,9.5,1.6,NA,21508,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Oscar Adams,NA,NA,9.5,1.6,NA,21515,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Jed Walter,Gold Coast Suns,Adelaide Crows,9.5,1.6,NA,21511,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Josh Worrell,Adelaide Crows,Gold Coast Suns,14.5,1.1,NA,21301,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Brayden Fiorini,Gold Coast Suns,Adelaide Crows,14.5,1.11,NA,21311,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,James Peatling,Adelaide Crows,Gold Coast Suns,14.5,1.11,NA,21304,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Izak Rankine,Adelaide Crows,Gold Coast Suns,14.5,1.11,NA,21295,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Joel Jeffrey,Gold Coast Suns,Adelaide Crows,14.5,1.17,NA,21314,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ben Jepson,Gold Coast Suns,Adelaide Crows,14.5,1.2,NA,38253,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Wayne Milera,Adelaide Crows,Gold Coast Suns,14.5,1.23,NA,21329,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Ben Keays,Adelaide Crows,Gold Coast Suns,14.5,1.23,NA,21291,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Mitchell Hinge,Adelaide Crows,Gold Coast Suns,14.5,1.24,NA,21289,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Sam Berry,Adelaide Crows,Gold Coast Suns,14.5,1.25,NA,21284,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Daniel Curtin,Adelaide Crows,Gold Coast Suns,14.5,1.28,NA,21286,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Bailey Humphrey,Gold Coast Suns,Adelaide Crows,14.5,1.3,NA,21313,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Wil Powell,Gold Coast Suns,Adelaide Crows,14.5,1.38,NA,21319,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Alex Neal-Bullen,Adelaide Crows,Gold Coast Suns,14.5,1.45,NA,21302,NA,TAB
Adelaide Crows v Gold Coast Suns,Adelaide Crows,Gold Coast Suns,Player Disposals,Jarrod Witts,Gold Coast Suns,Adelaide Crows,14.5,1.52,NA,21330,NA,TAB
