match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Charlie Cameron,Brisbane Lions,Fremantle Dockers,0.5,1.09,NA,6266,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Logan Morris,Brisbane Lions,Fremantle Dockers,0.5,1.09,NA,6307,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Jye Amiss,Fremantle Dockers,Brisbane Lions,0.5,1.1,NA,6272,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Josh Treacy,Fremantle Dockers,Brisbane Lions,0.5,1.11,NA,6270,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Kai Lohmann,Brisbane Lions,Fremantle Dockers,0.5,1.17,NA,6306,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Patrick Voss,Fremantle Dockers,Brisbane Lions,0.5,1.17,NA,6279,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Eric Hipwood,Brisbane Lions,Fremantle Dockers,0.5,1.22,NA,6303,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Oscar Allen,Brisbane Lions,Fremantle Dockers,0.5,1.3,NA,6308,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Isaiah Dudley,Fremantle Dockers,Brisbane Lions,0.5,1.32,NA,6283,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Luke Jackson,Fremantle Dockers,Brisbane Lions,0.5,1.33,NA,6265,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Zac Bailey,Brisbane Lions,Fremantle Dockers,0.5,1.35,NA,6298,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Shai Bolton,Fremantle Dockers,Brisbane Lions,0.5,1.42,NA,6287,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Cam Rayner,Brisbane Lions,Fremantle Dockers,0.5,1.5,NA,6299,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Michael Frederick,Fremantle Dockers,Brisbane Lions,0.5,1.58,NA,6276,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Conor McKenna,Brisbane Lions,Fremantle Dockers,0.5,1.7,NA,6300,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Hugh McCluggage,Brisbane Lions,Fremantle Dockers,0.5,1.95,NA,6304,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Will Ashcroft,Brisbane Lions,Fremantle Dockers,0.5,2.05,NA,6297,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Hayden Young,Fremantle Dockers,Brisbane Lions,0.5,2.3,NA,6268,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Mason Cox,Fremantle Dockers,Brisbane Lions,0.5,2.5,NA,6284,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Sam Switkowski,Fremantle Dockers,Brisbane Lions,0.5,2.5,NA,6286,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Murphy Reid,Fremantle Dockers,Brisbane Lions,0.5,2.7,NA,6285,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Sam Draper,Brisbane Lions,Fremantle Dockers,0.5,2.7,NA,6309,NA,TAB
Fremantle Dockers v Brisbane Lions,Fremantle Dockers,Brisbane Lions,Player Goals,Levi Ashcroft,Brisbane Lions,Fremantle Dockers,0.5,2.7,NA,6294,NA,TAB
