match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Ryan Angwin,GWS Giants,Essendon Bombers,1.5,1.02,NA,13995,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jye Caldwell,Essendon Bombers,GWS Giants,1.5,1.03,NA,13925,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Max Gruzewski,GWS Giants,Essendon Bombers,3.5,1.01,NA,13877,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jacob Farrow,Essendon Bombers,GWS Giants,3.5,1.05,NA,13761,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Mason Redman,Essendon Bombers,GWS Giants,3.5,1.07,NA,13767,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Aaron Cadman,GWS Giants,Essendon Bombers,3.5,1.08,NA,13822,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Reid,Essendon Bombers,GWS Giants,3.5,1.08,NA,13785,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Archie Roberts,Essendon Bombers,GWS Giants,3.5,1.12,NA,13862,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Prior,Essendon Bombers,GWS Giants,3.5,1.14,NA,13762,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Kyle Langford,Essendon Bombers,GWS Giants,3.5,1.14,NA,13875,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Toby Greene,GWS Giants,Essendon Bombers,3.5,1.15,NA,13857,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Xavier Duursma,Essendon Bombers,GWS Giants,3.5,1.16,NA,13771,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Angus Clarke,Essendon Bombers,GWS Giants,3.5,1.18,NA,13859,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Artemis,Essendon Bombers,GWS Giants,3.5,1.2,NA,13878,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Merrett,Essendon Bombers,GWS Giants,3.5,1.22,NA,13772,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Rowston,GWS Giants,Essendon Bombers,3.5,1.26,NA,13843,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Nate Caddy,Essendon Bombers,GWS Giants,3.5,1.28,NA,13768,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Peter Wright,Essendon Bombers,GWS Giants,3.5,1.3,NA,13817,NA,TAB
