match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Tanner Bruhn,Geelong Cats,Gold Coast Suns,1.5,1.04,NA,26159,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mark O'Connor,Geelong Cats,Gold Coast Suns,1.5,1.04,NA,26152,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Leonardo Lombard,Gold Coast Suns,Geelong Cats,1.5,1.08,NA,26178,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Sam Clohesy,Gold Coast Suns,Geelong Cats,1.5,1.08,NA,26185,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jack Bowes,Geelong Cats,Gold Coast Suns,1.5,1.09,NA,26189,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Lachlan Gulbin,Gold Coast Suns,Geelong Cats,1.5,1.13,NA,26177,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jack Martin,Geelong Cats,Gold Coast Suns,1.5,1.14,NA,26190,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Oliver Dempsey,Geelong Cats,Gold Coast Suns,1.5,1.16,NA,26155,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ben Long,Gold Coast Suns,Geelong Cats,1.5,1.19,NA,26169,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mitchell Edwards,Geelong Cats,Gold Coast Suns,1.5,1.19,NA,26163,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ben Jepson,Gold Coast Suns,Geelong Cats,1.5,1.22,NA,26196,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Zach Guthrie,Geelong Cats,Gold Coast Suns,1.5,1.23,NA,26161,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Shannon Neale,Geelong Cats,Gold Coast Suns,1.5,1.24,NA,26158,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Patrick Dangerfield,Geelong Cats,Gold Coast Suns,1.5,1.26,NA,26156,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Daniel Rioli,Gold Coast Suns,Geelong Cats,1.5,1.28,NA,26172,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Lawson Humphries,Geelong Cats,Gold Coast Suns,1.5,1.28,NA,26143,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Joel Jeffrey,Gold Coast Suns,Geelong Cats,1.5,1.36,NA,26175,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,John Noble,Gold Coast Suns,Geelong Cats,1.5,1.45,NA,26176,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Zeke Uwland,Gold Coast Suns,Geelong Cats,1.5,1.48,NA,26188,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jai Murray,Gold Coast Suns,Geelong Cats,1.5,1.5,NA,26192,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Bailey Smith,Geelong Cats,Gold Coast Suns,3.5,1.08,NA,24872,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Oisin Mullin,Geelong Cats,Gold Coast Suns,3.5,1.15,NA,24881,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Christian Petracca,Gold Coast Suns,Geelong Cats,3.5,1.45,NA,24898,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Max Holmes,Geelong Cats,Gold Coast Suns,3.5,1.5,NA,24880,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Noah Anderson,Gold Coast Suns,Geelong Cats,3.5,1.52,NA,24910,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Touk Miller,Gold Coast Suns,Geelong Cats,3.5,1.62,NA,24914,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Shaun Mannagh,Geelong Cats,Gold Coast Suns,3.5,1.72,NA,24892,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Bailey Humphrey,Gold Coast Suns,Geelong Cats,3.5,1.75,NA,24894,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mark Blicavs,Geelong Cats,Gold Coast Suns,3.5,1.85,NA,24878,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ned Moyle,Gold Coast Suns,Geelong Cats,3.5,1.95,NA,24908,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Tanner Bruhn,Geelong Cats,Gold Coast Suns,3.5,2.1,NA,24886,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mark O'Connor,Geelong Cats,Gold Coast Suns,3.5,2.15,NA,24879,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Sam Clohesy,Gold Coast Suns,Geelong Cats,3.5,2.4,NA,24912,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Leonardo Lombard,Gold Coast Suns,Geelong Cats,3.5,2.4,NA,24905,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jack Bowes,Geelong Cats,Gold Coast Suns,3.5,2.5,NA,24916,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Lachlan Gulbin,Gold Coast Suns,Geelong Cats,3.5,2.7,NA,24904,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jack Martin,Geelong Cats,Gold Coast Suns,3.5,2.75,NA,24917,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Oliver Dempsey,Geelong Cats,Gold Coast Suns,3.5,2.9,NA,24882,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mitchell Edwards,Geelong Cats,Gold Coast Suns,3.5,3.1,NA,24890,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ben Long,Gold Coast Suns,Geelong Cats,3.5,3.1,NA,24896,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ben Jepson,Gold Coast Suns,Geelong Cats,3.5,3.25,NA,24923,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Zach Guthrie,Geelong Cats,Gold Coast Suns,3.5,3.4,NA,24888,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Shannon Neale,Geelong Cats,Gold Coast Suns,3.5,3.4,NA,24885,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Patrick Dangerfield,Geelong Cats,Gold Coast Suns,3.5,3.6,NA,24883,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Daniel Rioli,Gold Coast Suns,Geelong Cats,3.5,3.75,NA,24899,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Lawson Humphries,Geelong Cats,Gold Coast Suns,3.5,3.8,NA,24870,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Joel Jeffrey,Gold Coast Suns,Geelong Cats,3.5,4.25,NA,24902,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,John Noble,Gold Coast Suns,Geelong Cats,3.5,5,NA,24903,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Zeke Uwland,Gold Coast Suns,Geelong Cats,3.5,5.5,NA,24915,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Jai Murray,Gold Coast Suns,Geelong Cats,3.5,5.5,NA,24919,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Tom Atkins,Geelong Cats,Gold Coast Suns,5.5,1.33,NA,25991,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Matt Rowell,Gold Coast Suns,Geelong Cats,5.5,1.4,NA,26005,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Bailey Smith,Geelong Cats,Gold Coast Suns,5.5,1.7,NA,25970,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Oisin Mullin,Geelong Cats,Gold Coast Suns,5.5,1.9,NA,25979,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Christian Petracca,Gold Coast Suns,Geelong Cats,5.5,3,NA,25996,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Max Holmes,Geelong Cats,Gold Coast Suns,5.5,3.25,NA,25978,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Noah Anderson,Gold Coast Suns,Geelong Cats,5.5,3.4,NA,26008,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Touk Miller,Gold Coast Suns,Geelong Cats,5.5,3.75,NA,26012,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Shaun Mannagh,Geelong Cats,Gold Coast Suns,5.5,4.2,NA,25990,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Bailey Humphrey,Gold Coast Suns,Geelong Cats,5.5,4.5,NA,25992,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Mark Blicavs,Geelong Cats,Gold Coast Suns,5.5,4.8,NA,25976,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Ned Moyle,Gold Coast Suns,Geelong Cats,5.5,5.5,NA,26006,NA,TAB
Geelong Cats v Gold Coast Suns,Geelong Cats,Gold Coast Suns,Player Tackles,Tanner Bruhn,Geelong Cats,Gold Coast Suns,5.5,6,NA,25984,NA,TAB
