match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Clayton Oliver,Melbourne Demons,19.5,1.16,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Trent Rivers,Melbourne Demons,19.5,1.19,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Jack Viney,Melbourne Demons,19.5,1.29,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Finn Callaghan,GWS Giants,19.5,1.31,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Harry Himmelberg,GWS Giants,19.5,1.44,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Lachlan Ash,NA,19.5,1.45,NA,TopSport,NA
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Harry Perryman,GWS Giants,19.5,1.49,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Connor Idun,GWS Giants,19.5,1.63,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Callan Ward,GWS Giants,19.5,1.69,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Ed Langdon,Melbourne Demons,19.5,1.74,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Max Gawn,Melbourne Demons,19.5,1.84,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Alex Neal-Bullen,Melbourne Demons,19.5,1.94,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,James Peatling,GWS Giants,19.5,1.99,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Steven May,Melbourne Demons,19.5,1.99,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Brent Daniels,GWS Giants,19.5,2.09,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Judd McVee,Melbourne Demons,19.5,2.14,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Jack Billings,Melbourne Demons,19.5,2.17,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Caleb Windsor,Melbourne Demons,19.5,2.38,NA,TopSport,GWS Giants
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Toby Bedford,GWS Giants,19.5,3.15,NA,TopSport,Melbourne Demons
Melbourne Demons v GWS Giants,Melbourne Demons,GWS Giants,Player Disposals,Bailey Laurie,Melbourne Demons,19.5,3.2,NA,TopSport,GWS Giants
