match,home_team,away_team,player_name,player_team,line,over_price,opposition_team,market_name,agency
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Lachlan Ash,NA,69.5,1.17,NA,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Finn Callaghan,GWS Giants,69.5,1.26,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Sam Flanders,Gold Coast Suns,79.5,1.09,GWS Giants,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Tom Green,GWS Giants,79.5,1.09,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Noah Anderson,Gold Coast Suns,79.5,1.1,GWS Giants,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Kieren Briggs,GWS Giants,79.5,1.19,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Matt Rowell,Gold Coast Suns,79.5,1.24,GWS Giants,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Harry Himmelberg,GWS Giants,79.5,1.49,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Callan Ward,GWS Giants,79.5,1.54,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Lachlan Ash,NA,79.5,1.54,NA,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Alex Sexton,Gold Coast Suns,79.5,1.64,GWS Giants,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Brent Daniels,GWS Giants,79.5,1.64,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Wil Powell,Gold Coast Suns,79.5,1.66,GWS Giants,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Finn Callaghan,GWS Giants,79.5,1.69,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Harry Perryman,GWS Giants,79.5,1.79,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Connor Idun,GWS Giants,79.5,1.84,Gold Coast Suns,Player Fantasy Points,TopSport
GWS Giants v Gold Coast Suns,GWS Giants,Gold Coast Suns,Toby Greene,GWS Giants,79.5,1.84,Gold Coast Suns,Player Fantasy Points,TopSport
