match,home_team,away_team,player_name,player_team,line,over_price,opposition_team,market_name,agency
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Josh Treacy,Fremantle Dockers,0.5,1.13,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Mabior Chol,Hawthorn Hawks,0.5,1.16,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Dylan Moore,Hawthorn Hawks,0.5,1.19,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jye Amiss,Fremantle Dockers,0.5,1.2,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Sam Sturt,Fremantle Dockers,0.5,1.2,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Luke Breust,Hawthorn Hawks,0.5,1.34,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Patrick Voss,Fremantle Dockers,0.5,1.4,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Calsher Dear,Hawthorn Hawks,0.5,1.41,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Bailey Banfield,Fremantle Dockers,0.5,1.46,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Michael Frederick,Fremantle Dockers,0.5,1.48,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Nick Watson,Hawthorn Hawks,0.5,1.54,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Connor Macdonald,Hawthorn Hawks,0.5,1.61,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Massimo D'Ambrosio,Hawthorn Hawks,0.5,1.69,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Blake Hardwick,Hawthorn Hawks,0.5,1.7,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Luke Jackson,Fremantle Dockers,0.5,1.71,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Hayden Young,Fremantle Dockers,0.5,1.94,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Lloyd Meek,Hawthorn Hawks,0.5,2.2,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Sam Switkowski,Fremantle Dockers,0.5,2.23,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Cameron Mackenzie,NA,0.5,2.49,NA,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jeremy Sharp,Fremantle Dockers,0.5,2.57,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jaeger O'Meara,Fremantle Dockers,0.5,2.69,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Will Day,Hawthorn Hawks,0.5,2.93,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Andrew Brayshaw,Fremantle Dockers,0.5,2.94,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,James Worpel,Hawthorn Hawks,0.5,3.15,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Nat Fyfe,Fremantle Dockers,0.5,3.2,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jai Newcombe,Hawthorn Hawks,0.5,3.4,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Josh Weddle,Hawthorn Hawks,0.5,3.65,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Caleb Serong,Fremantle Dockers,0.5,3.8,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Karl Amon,Hawthorn Hawks,0.5,4,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Matthew Johnson,Fremantle Dockers,0.5,4,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Josh Treacy,Fremantle Dockers,1.5,1.66,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Mabior Chol,Hawthorn Hawks,1.5,1.75,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Dylan Moore,Hawthorn Hawks,1.5,1.92,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jye Amiss,Fremantle Dockers,1.5,1.98,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Sam Sturt,Fremantle Dockers,1.5,1.98,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Luke Breust,Hawthorn Hawks,1.5,2.58,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Patrick Voss,Fremantle Dockers,1.5,2.91,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Calsher Dear,Hawthorn Hawks,1.5,2.93,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Michael Frederick,Fremantle Dockers,1.5,3.2,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Bailey Banfield,Fremantle Dockers,1.5,3.3,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Nick Watson,Hawthorn Hawks,1.5,3.6,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Connor Macdonald,Hawthorn Hawks,1.5,3.95,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Massimo D'Ambrosio,Hawthorn Hawks,1.5,4.2,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Blake Hardwick,Hawthorn Hawks,1.5,4.4,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Luke Jackson,Fremantle Dockers,1.5,4.5,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Hayden Young,Fremantle Dockers,1.5,6.25,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Cameron Mackenzie,NA,1.5,7.5,NA,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jeremy Sharp,Fremantle Dockers,1.5,7.5,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Lloyd Meek,Hawthorn Hawks,1.5,7.5,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Sam Switkowski,Fremantle Dockers,1.5,7.5,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Josh Treacy,Fremantle Dockers,2.5,2.93,Hawthorn Hawks,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Mabior Chol,Hawthorn Hawks,2.5,3.25,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Dylan Moore,Hawthorn Hawks,2.5,3.85,Fremantle Dockers,Player Goals,TopSport
Hawthorn Hawks v Fremantle Dockers,Hawthorn Hawks,Fremantle Dockers,Jye Amiss,Fremantle Dockers,2.5,4,Hawthorn Hawks,Player Goals,TopSport
