match,home_team,away_team,player_name,player_team,line,over_price,opposition_team,market_name,agency
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Minairo Frederick,NA,1.5,1.05,NA,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Jye Amiss,Fremantle Dockers,1.5,1.06,Western Bulldogs,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Laitham Vandermeer,Western Bulldogs,1.5,1.07,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Michael Walters,Fremantle Dockers,1.5,1.07,Western Bulldogs,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Rhylee West,Western Bulldogs,1.5,1.09,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Liam Jones,Western Bulldogs,3.5,1.08,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Bailey Williams,Western Bulldogs,3.5,1.11,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Jeremy Sharp,Fremantle Dockers,3.5,1.13,Western Bulldogs,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Josh Treacy,Fremantle Dockers,3.5,1.14,Western Bulldogs,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Ed Richards,Western Bulldogs,3.5,1.17,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Jamarra Ugle-Hagan,Western Bulldogs,3.5,1.17,Fremantle Dockers,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,James Aish,Fremantle Dockers,3.5,1.17,Western Bulldogs,Player Marks,TopSport
Western Bulldogs v Fremantle Dockers,Western Bulldogs,Fremantle Dockers,Joel Freijah,Western Bulldogs,3.5,1.17,Fremantle Dockers,Player Marks,TopSport
