match,home_team,away_team,player_name,player_team,line,over_price,opposition_team,market_name,agency
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Nick Watson,Hawthorn Hawks,1.5,1.11,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Blake Hardwick,Hawthorn Hawks,1.5,1.12,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Joshua Ward,NA,1.5,1.15,NA,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Caleb Daniel,Western Bulldogs,1.5,1.19,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Jarman Impey,Hawthorn Hawks,1.5,1.19,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Mabior Chol,Hawthorn Hawks,1.5,1.19,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Taylor Duryea,Western Bulldogs,1.5,1.19,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Bailey Williams,Western Bulldogs,1.5,1.22,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Harry Morrison,Hawthorn Hawks,1.5,1.23,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Joel Freijah,Western Bulldogs,1.5,1.24,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Massimo DAmbrosio,NA,1.5,1.24,NA,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Calsher Dear,Hawthorn Hawks,1.5,1.28,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Karl Amon,Hawthorn Hawks,1.5,1.28,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Laitham Vandermeer,Western Bulldogs,1.5,1.3,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Rory Lobb,Western Bulldogs,1.5,1.3,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Marcus Bontempelli,Western Bulldogs,3.5,1.05,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Adam Treloar,Western Bulldogs,3.5,1.12,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Conor Nash,Hawthorn Hawks,3.5,1.15,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Jai Newcombe,Hawthorn Hawks,3.5,1.24,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,James Worpel,Hawthorn Hawks,3.5,1.29,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Dylan Moore,Hawthorn Hawks,3.5,1.35,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Harvey Gallagher,Western Bulldogs,3.5,1.54,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,James Harmes,Western Bulldogs,3.5,1.54,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Tim English,Western Bulldogs,3.5,1.59,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Connor Macdonald,Hawthorn Hawks,3.5,1.69,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Lloyd Meek,Hawthorn Hawks,3.5,1.69,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Cody Weightman,Western Bulldogs,3.5,1.74,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Jack Macrae,Western Bulldogs,3.5,1.74,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Lachlan McNeil,Western Bulldogs,3.5,1.74,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Finn Maginness,Hawthorn Hawks,3.5,1.82,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Jack Ginnivan,Hawthorn Hawks,3.5,1.99,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Sam Darcy,Western Bulldogs,3.5,1.99,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Nick Watson,Hawthorn Hawks,3.5,2.04,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Blake Hardwick,Hawthorn Hawks,3.5,2.14,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Joshua Ward,NA,3.5,2.24,NA,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Caleb Daniel,Western Bulldogs,3.5,2.48,Hawthorn Hawks,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Jarman Impey,Hawthorn Hawks,3.5,2.48,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Mabior Chol,Hawthorn Hawks,3.5,2.48,Western Bulldogs,Player Tackles,TopSport
Western Bulldogs v Hawthorn Hawks,Western Bulldogs,Hawthorn Hawks,Taylor Duryea,Western Bulldogs,3.5,2.48,Hawthorn Hawks,Player Tackles,TopSport
