match,home_team,away_team,date,line,player_name,player_team,opposition_team,over_price,under_price,agency,market_name
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,14.5,Ben Keays,Adelaide Crows,Sydney Swans,1.51,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,19.5,Ben Keays,Adelaide Crows,Sydney Swans,3.85,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,14.5,Billy Dowling,Adelaide Crows,Sydney Swans,1.32,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,19.5,Billy Dowling,Adelaide Crows,Sydney Swans,2.5,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,24.5,Billy Dowling,Adelaide Crows,Sydney Swans,6.25,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,14.5,Brodie Grundy,Sydney Swans,Adelaide Crows,1.18,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,19.5,Brodie Grundy,Sydney Swans,Adelaide Crows,2.05,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,24.5,Brodie Grundy,Sydney Swans,Adelaide Crows,5.4,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,29.5,Brodie Grundy,Sydney Swans,Adelaide Crows,18,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,19.5,Chad Warner,Sydney Swans,Adelaide Crows,1.1,NA,Unibet,Player Disposals
Adelaide Crows v Sydney Swans,Adelaide Crows,Sydney Swans,2024-06-15,24.5,Chad Warner,Sydney Swans,Adelaide Crows,1.6,NA,Unibet,Player Disposals
